BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	777.645752	777.645752
Normalized length (m):	1.000000	1.000000
File Information
Date	Nov 04, 2013  13:46:47
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
3.700000	-0.026314	-0.005338
3.720000	-0.027883	-0.003073
3.740000	-0.028461	-0.001217
3.760000	-0.028303	0.000124
3.780000	-0.027802	0.000652
3.800000	-0.027041	0.001330
3.820000	-0.026219	0.002356
3.840000	-0.025706	0.004215
3.860000	-0.024703	0.006232
3.880000	-0.022989	0.008097
3.900000	-0.021483	0.009358
3.920000	-0.020655	0.009885
3.940000	-0.019768	0.009363
3.960000	-0.018089	0.007949
3.980000	-0.014402	0.005226
4.000000	-0.008129	0.001054
4.020000	-0.002506	-0.003328
4.040000	-0.000574	-0.007014
4.060000	-0.002509	-0.008520
4.080000	-0.005441	-0.007977
4.100000	-0.007738	-0.006203
4.120000	-0.008932	-0.003394
4.140000	-0.008922	-0.000620
4.160000	-0.007339	0.001454
4.180000	-0.005078	0.002317
4.200000	-0.002069	0.001286
4.220000	0.002379	-0.001599
4.240000	0.007659	-0.004904
4.260000	0.011582	-0.008097
4.280000	0.014231	-0.010308
4.300000	0.015301	-0.011160
4.320000	0.013538	-0.009925
4.340000	0.010198	-0.007209
4.360000	0.007302	-0.003571
4.380000	0.005085	0.000096
4.400000	0.003880	0.003973
4.420000	0.004831	0.007391
4.440000	0.007352	0.009752
4.460000	0.010158	0.011024
4.480000	0.013259	0.011486
4.500000	0.016142	0.012069
4.520000	0.018089	0.012911
4.540000	0.019048	0.013578
4.560000	0.018684	0.013986
4.580000	0.017423	0.013619
4.600000	0.016622	0.012206
4.620000	0.017421	0.009769
4.640000	0.016865	0.007534
4.660000	0.015087	0.006340
4.680000	0.013262	0.006595
4.700000	0.011805	0.007954
4.720000	0.011647	0.009203
4.740000	0.012063	0.009454
4.760000	0.013374	0.008898
4.780000	0.015591	0.006699
4.800000	0.018831	0.002183
4.820000	0.021093	-0.003163
4.840000	0.021474	-0.008375
4.860000	0.020539	-0.012816
4.880000	0.019380	-0.016904
4.900000	0.018739	-0.020303
4.920000	0.018461	-0.022472
4.940000	0.018521	-0.023430
4.960000	0.018892	-0.023659
4.980000	0.019549	-0.023424
5.000000	0.020215	-0.023516
5.020000	0.020398	-0.023672
5.040000	0.019678	-0.024058
5.060000	0.017822	-0.024750
5.080000	0.015222	-0.025494
5.100000	0.012790	-0.026382
5.120000	0.011018	-0.026325
5.140000	0.009468	-0.025729
5.160000	0.007712	-0.025040
5.180000	0.006040	-0.024276
5.200000	0.004040	-0.024010
5.220000	0.001360	-0.023902
5.240000	-0.001697	-0.023817
5.260000	-0.003971	-0.023741
5.280000	-0.005746	-0.022632
5.300000	-0.008391	-0.020225
5.320000	-0.011960	-0.017109
5.340000	-0.015791	-0.013383
5.360000	-0.019325	-0.009114
5.380000	-0.022265	-0.004975
5.400000	-0.023885	-0.000812
5.420000	-0.023824	0.002971
5.440000	-0.023255	0.005917
5.460000	-0.023802	0.008084
5.480000	-0.025484	0.008949
5.500000	-0.026900	0.009040
5.520000	-0.027541	0.008885
5.540000	-0.027015	0.008988
5.560000	-0.024955	0.009459
5.580000	-0.020947	0.010717
5.600000	-0.015184	0.012980
5.620000	-0.010853	0.015326
5.640000	-0.010931	0.016531
5.660000	-0.014778	0.015840
5.680000	-0.019950	0.013471
5.700000	-0.023724	0.011172
5.720000	-0.024796	0.009182
5.740000	-0.023232	0.007470
5.760000	-0.018758	0.005186
5.780000	-0.011575	0.001594
5.800000	-0.007016	-0.002756
5.820000	-0.007221	-0.007279
5.840000	-0.011979	-0.010319
5.860000	-0.017367	-0.010947
5.880000	-0.022204	-0.009094
5.900000	-0.026288	-0.006031
5.920000	-0.029421	-0.002456
5.940000	-0.032376	0.000377
5.960000	-0.034854	0.002050
5.980000	-0.035927	0.002559
6.000000	-0.035695	0.001395
6.020000	-0.033201	-0.001490
6.040000	-0.028961	-0.005853
6.060000	-0.026594	-0.009295
6.080000	-0.026210	-0.010717
6.100000	-0.026116	-0.010287
6.120000	-0.025726	-0.009376
6.140000	-0.024974	-0.009237
6.160000	-0.025191	-0.009910
6.180000	-0.026132	-0.010700
6.200000	-0.027348	-0.011738
6.220000	-0.028187	-0.012708
6.240000	-0.029012	-0.013405
6.260000	-0.029619	-0.013492
6.280000	-0.029937	-0.012807
6.300000	-0.030763	-0.010938
6.320000	-0.032671	-0.008578
6.340000	-0.034961	-0.005899
6.360000	-0.037200	-0.004041
6.380000	-0.038620	-0.003857
6.400000	-0.039129	-0.005011
6.420000	-0.038953	-0.007097
6.440000	-0.038396	-0.009122
