BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.183000	-0.022284	0.042388
0.184000	-0.022287	0.042373
0.185000	-0.022255	0.042369
0.186000	-0.022260	0.042369
0.187000	-0.022264	0.042389
0.188000	-0.022268	0.042370
0.189000	-0.022247	0.042403
0.190000	-0.022265	0.042402
0.191000	-0.022246	0.042435
0.192000	-0.022236	0.042387
0.193000	-0.022242	0.042391
0.194000	-0.022239	0.042425
0.195000	-0.022230	0.042392
0.196000	-0.022248	0.042437
0.197000	-0.022240	0.042440
0.198000	-0.022244	0.042416
0.199000	-0.022242	0.042438
0.200000	-0.022237	0.042425
0.201000	-0.022241	0.042400
0.202000	-0.022242	0.042411
0.203000	-0.022238	0.042388
0.204000	-0.022237	0.042403
0.205000	-0.022244	0.042444
0.206000	-0.022258	0.042435
0.207000	-0.022245	0.042428
0.208000	-0.022258	0.042413
0.209000	-0.022254	0.042418
0.210000	-0.022259	0.042409
0.211000	-0.022277	0.042424
0.212000	-0.022264	0.042418
0.213000	-0.022290	0.042439
0.214000	-0.022280	0.042434
0.215000	-0.022283	0.042470
0.216000	-0.022293	0.042455
0.217000	-0.022310	0.042428
0.218000	-0.022305	0.042443
0.219000	-0.022298	0.042446
0.220000	-0.022295	0.042459
0.221000	-0.022308	0.042500
0.222000	-0.022298	0.042471
0.223000	-0.022305	0.042458
0.224000	-0.022302	0.042465
0.225000	-0.022321	0.042464
0.226000	-0.022303	0.042463
0.227000	-0.022300	0.042468
0.228000	-0.022318	0.042445
0.229000	-0.022323	0.042485
0.230000	-0.022295	0.042442
0.231000	-0.022312	0.042505
0.232000	-0.022302	0.042463
0.233000	-0.022304	0.042459
0.234000	-0.022281	0.042447
0.235000	-0.022285	0.042435
0.236000	-0.022285	0.042434
0.237000	-0.022290	0.042457
0.238000	-0.022265	0.042463
0.239000	-0.022271	0.042439
0.240000	-0.022259	0.042461
0.241000	-0.022272	0.042433
0.242000	-0.022254	0.042427
0.243000	-0.022247	0.042411
0.244000	-0.022228	0.042452
0.245000	-0.022220	0.042412
0.246000	-0.022231	0.042431
