MR32 CSV
Name,EMG 1 channel recording 1-2
Frequency,2000
Date,25-03-2022 10:32:52
"Time,s","VMO RT,uV"
0.0000,62.26
0.0005,68.97
0.0010,75.08
0.0015,76.3
0.0020,68.36
0.0025,52.8
0.0030,37.54
0.0035,28.99
0.0040,25.94
0.0045,24.72
0.0050,22.58
0.0055,18.31
0.0060,12.21
0.0065,6.407
0.0070,2.439
0.0075,-1.223
0.0080,-10.99
0.0085,-27.16
0.0090,-41.51
0.0095,-46.7
0.0100,-42.42
0.0105,-35.71
0.0110,-29
0.0115,-20.45
0.0120,-8.853
0.0125,1.829
0.0130,7.933
0.0135,9.459
0.0140,9.154
0.0145,10.07
0.0150,13.43
0.0155,18.61
0.0160,23.19
0.0165,24.72
0.0170,22.58
0.0175,17.7
0.0180,12.51
0.0185,9.459
0.0190,10.68
0.0195,16.78
0.0200,23.19
0.0205,24.11
0.0210,18
0.0215,8.543
0.0220,0.6083
0.0225,-4.58
0.0230,-7.937
0.0235,-10.07
0.0240,-11.6
0.0245,-13.74
0.0250,-15.87
0.0255,-15.57
0.0260,-12.52
0.0265,-8.548
0.0270,-5.801
0.0275,-5.801
0.0280,-9.463
0.0285,-15.87
0.0290,-18.62
0.0295,-13.43
0.0300,-4.275
0.0305,-0.6125
0.0310,-5.801
0.0315,-12.52
0.0320,-16.18
0.0325,-18.92
0.0330,-22.59
0.0335,-22.59
0.0340,-17.4
0.0345,-14.35
0.0350,-21.06
0.0355,-33.88
0.0360,-41.2
0.0365,-39.68
0.0370,-35.4
0.0375,-34.18
0.0380,-34.49
0.0385,-31.74
0.0390,-23.5
0.0395,-10.38
0.0400,4.576
0.0405,16.78
0.0410,23.19
0.0415,25.94
0.0420,28.38
0.0425,30.82
0.0430,30.82
0.0435,28.69
0.0440,26.24
0.0445,22.58
0.0450,15.56
0.0455,5.797
0.0460,-1.833
0.0465,-4.275
0.0470,-1.528
0.0475,2.745
0.0480,5.186
0.0485,3.355
0.0490,-0.3073
0.0495,-3.359
0.0500,-3.97
0.0505,-3.97
0.0510,-5.496
0.0515,-5.801
0.0520,-2.444
0.0525,2.745
0.0530,5.491
0.0535,3.355
0.0540,-0.002135
0.0545,-0.6125
0.0550,1.524
0.0555,3.66
0.0560,2.745
0.0565,-0.002135
0.0570,-2.749
0.0575,-5.19
0.0580,-7.937
0.0585,-10.07
0.0590,-9.463
0.0595,-6.716
0.0600,-5.801
0.0605,-7.632
0.0610,-9.158
0.0615,-6.411
0.0620,-2.444
0.0625,-1.833
