MR32 CSV
Name,EMG 1 channel recording 1
Frequency,2000
Date,25-03-2022 10:25:34
"Time,s","VMO RT,uV"
0.1650,14.32
0.1655,15.24
0.1660,15.24
0.1665,16.15
0.1670,17.99
0.1675,17.38
0.1680,14.63
0.1685,11.88
0.1690,10.97
0.1695,11.27
0.1700,10.66
0.1705,10.66
0.1710,11.88
0.1715,13.41
0.1720,13.1
0.1725,11.27
0.1730,10.05
0.1735,10.05
0.1740,10.36
0.1745,9.135
0.1750,8.22
0.1755,9.135
0.1760,11.27
0.1765,13.1
0.1770,14.63
0.1775,17.07
0.1780,19.51
0.1785,21.04
0.1790,22.87
0.1795,26.23
0.1800,30.5
0.1805,31.41
0.1810,28.97
0.1815,26.84
0.1820,27.45
0.1825,28.36
0.1830,25.92
0.1835,19.51
0.1840,10.36
0.1845,-0.9362
0.1850,-13.75
0.1855,-23.83
0.1860,-26.57
0.1865,-24.13
0.1870,-22.3
0.1875,-22.91
0.1880,-21.99
0.1885,-17.72
0.1890,-13.45
0.1895,-13.14
0.1900,-15.28
0.1905,-15.89
0.1910,-14.36
0.1915,-12.23
0.1920,-9.787
0.1925,-6.43
0.1930,-1.852
0.1935,1.505
0.1940,3.947
0.1945,7.609
0.1950,12.8
0.1955,15.24
0.1960,11.58
0.1965,4.252
0.1970,-1.241
0.1975,-2.157
0.1980,-1.547
0.1985,-2.462
0.1990,-5.209
0.1995,-9.176
0.2000,-13.75
0.2005,-18.03
0.2010,-19.25
0.2015,-17.42
0.2020,-16.2
0.2025,-17.42
0.2030,-18.64
0.2035,-15.28
0.2040,-10.09
0.2045,-7.65
0.2050,-9.482
0.2055,-10.7
0.2060,-7.345
0.2065,-2.157
0.2070,1.2
0.2075,2.726
0.2080,3.642
0.2085,4.557
0.2090,4.557
0.2095,6.083
0.2100,9.135
0.2105,12.19
0.2110,11.88
0.2115,8.22
0.2120,4.557
0.2125,2.726
0.2130,1.505
0.2135,-0.3258
0.2140,-2.157
0.2145,-4.293
0.2150,-7.04
0.2155,-10.4
0.2160,-12.84
0.2165,-11.92
0.2170,-9.176
0.2175,-7.345
0.2180,-5.514
0.2185,-2.462
0.2190,0.2846
