BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	599.911072	599.911072	599.911072
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 22, 2013  13:34:13
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-1.968899	-1.053477	602.418762
0.001000	-2.288167	-1.372931	600.676270
0.002000	-2.448239	-1.532773	599.248703
0.003000	-2.288167	-1.492755	600.992996
0.004000	-1.968899	-1.213090	602.578865
0.005000	-2.168478	-1.412720	602.101768
0.006000	-2.488038	-1.651908	598.773659
0.007000	-2.048497	-1.452508	603.053474
0.008000	-2.128679	-1.412720	601.468208
0.009000	-2.288167	-1.572102	601.785515
0.010000	-2.447947	-1.731943	599.566673
0.011000	-2.288167	-1.612120	601.310158
0.012000	-2.088295	-1.412720	602.737556
0.013000	-2.447947	-1.691926	599.883751
0.014000	-2.527836	-1.731943	598.932617
0.015000	-2.367764	-1.811520	600.359192
0.016000	-2.287874	-1.691926	600.362083
0.017000	-2.167892	-1.492525	603.213249
0.018000	-2.088295	-1.532543	600.836037
0.019000	-2.487745	-1.851538	599.410950
0.020000	-2.567343	-1.971362	598.616684
0.021000	-2.367471	-1.771731	600.042465
0.022000	-2.207691	-1.691926	602.103836
0.023000	-2.167599	-1.612120	599.728600
0.024000	-1.887838	-1.452508	602.580925
0.025000	-2.087709	-1.612120	601.312637
0.026000	-2.167307	-1.652138	600.836952
0.027000	-2.367471	-1.851538	599.410950
0.028000	-2.327379	-1.811520	599.569153
0.029000	-1.887838	-1.452508	601.469444
0.030000	-2.287288	-1.811520	600.520546
0.031000	-2.327087	-1.811520	598.776802
0.032000	-2.007527	-1.651908	601.945297
0.033000	-2.207398	-1.731714	599.569809
0.034000	-2.287288	-1.811520	599.569809
0.035000	-2.406976	-1.971362	598.459152
0.036000	-2.207105	-1.771502	600.203209
0.037000	-2.007234	-1.651908	600.995659
0.038000	-1.967435	-1.691696	601.155106
0.039000	-2.367178	-1.930884	597.984543
0.040000	-2.167307	-1.771273	600.677681
0.041000	-2.167307	-1.811291	599.570801
0.042000	-1.847747	-1.731255	601.470535
0.043000	-2.207105	-1.930884	598.777306
0.044000	-2.287288	-1.970673	597.984543
0.045000	-2.207398	-2.050479	599.092468
0.046000	-2.167307	-1.930884	598.617523
0.047000	-1.767857	-1.771273	602.262695
0.048000	-1.768149	-1.691466	600.994087
0.049000	-2.247197	-2.210320	598.459320
0.050000	-2.247197	-2.290126	597.825417
0.051000	-2.207398	-2.170303	598.301941
0.052000	-2.167599	-2.250108	599.092247
0.053000	-2.087709	-2.090267	599.886986
0.054000	-1.728058	-1.811291	601.153770
0.055000	-1.808241	-2.050479	601.311150
0.056000	-2.167599	-2.250108	598.459976
0.057000	-1.927930	-2.250108	599.725716
0.058000	-1.728351	-2.050479	601.469688
0.059000	-1.927930	-2.170303	599.886398
0.060000	-2.087709	-2.329915	599.886398
0.061000	-1.927930	-2.250108	599.726860
0.062000	-1.808241	-2.170303	600.837364
0.063000	-1.888131	-2.290126	601.153770
0.064000	-1.927930	-2.330144	600.044258
0.065000	-1.608370	-2.010691	602.421219
0.066000	-1.648461	-1.970902	602.105873
0.067000	-2.008405	-2.329915	598.460312
0.068000	-1.848040	-2.330144	601.312782
0.069000	-1.648461	-1.971362	601.946190
0.070000	-1.608662	-2.050939	603.215309
0.071000	-1.688552	-2.090956	600.996712
0.072000	-1.808241	-2.170762	601.313866
0.073000	-1.808241	-2.290586	600.362808
0.074000	-1.688259	-2.090956	602.423523
0.075000	-1.368699	-1.811520	603.532768
0.076000	-1.448882	-1.971362	602.897964
0.077000	-1.688259	-2.090956	600.680305
0.078000	-1.728058	-2.410409	601.154427
0.079000	-1.807948	-2.290586	599.412422
0.080000	-1.448297	-2.090956	603.057411
0.081000	-1.528480	-1.971362	601.949722
0.082000	-1.608370	-2.130974	601.156471
0.083000	-1.767857	-2.250568	600.997032
0.084000	-1.488095	-1.971362	602.265152
0.085000	-1.608077	-2.170992	601.314430
0.086000	-1.687967	-2.210780	600.521767
0.087000	-1.487802	-2.011379	601.948326
0.088000	-1.248425	-1.971591	602.106628
0.089000	-1.727766	-2.250797	600.206909
0.090000	-1.687674	-2.170992	600.997704
0.091000	-1.328022	-2.011609	603.058983
0.092000	-1.447711	-2.011379	601.315666
0.093000	-1.807070	-2.370622	600.681114
0.094000	-1.567692	-2.250797	599.257019
0.095000	-1.207748	-1.971591	603.691963
0.096000	-1.327730	-2.011609	601.948326
0.097000	-1.527601	-2.211009	601.157951
0.098000	-1.527601	-2.370852	600.839989
0.099000	-1.328022	-2.211009	601.632408
0.100000	-1.128151	-1.931803	602.424347
0.101000	-1.367821	-2.091415	602.107773
0.102000	-1.407913	-2.291045	600.207230
0.103000	-1.447711	-2.330833	601.789787
0.104000	-1.567692	-2.291045	599.571938
0.105000	-1.287931	-2.091415	602.108093
0.106000	-1.207748	-2.091415	602.266632
0.107000	-1.208333	-2.091415	602.425255
0.108000	-1.567400	-2.530463	600.681198
0.109000	-1.447711	-2.291045	600.364136
0.110000	-1.247547	-2.091415	603.217598
0.111000	-1.487510	-2.490445	600.522659
0.112000	-1.567400	-2.450657	600.997437
0.113000	-1.247547	-2.211469	603.059151
0.114000	-1.407619	-2.370852	601.315422
0.115000	-1.647290	-2.570481	599.414070
0.116000	-1.447418	-2.490445	601.790443
0.117000	-1.128151	-2.091415	602.424683
0.118000	-1.527308	-2.530463	601.155151
0.119000	-1.607198	-2.530463	599.891159
0.120000	-1.407327	-2.370852	601.790291
0.121000	-1.367528	-2.330833	601.790291
0.122000	-1.527308	-2.530463	600.519859
0.123000	-1.686795	-2.690074	600.203621
0.124000	-1.567107	-2.610269	600.206589
0.125000	-1.407327	-2.410640	601.473137
0.126000	-1.207456	-2.410640	603.532539
0.127000	-1.567107	-2.650286	599.729805
0.128000	-1.766685	-2.889475	599.252991
0.129000	-1.606613	-2.690074	600.362816
0.130000	-1.407327	-2.490445	601.315346
0.131000	-1.247254	-2.450657	603.058319
0.132000	-1.447125	-2.530463	600.522339
0.133000	-1.327144	-2.530463	603.056686
0.134000	-1.606613	-2.770111	600.522339
0.135000	-1.646704	-2.889475	600.046059
0.136000	-1.247254	-2.490445	603.216454
0.137000	-1.527016	-2.650057	600.680878
0.138000	-1.726301	-2.889475	599.412155
0.139000	-1.167071	-2.450428	603.849113
0.140000	-1.366943	-2.729634	600.997131
0.141000	-1.686503	-3.009070	600.839081
0.142000	-1.606613	-2.889475	600.046394
0.143000	-1.287053	-2.610039	603.532372
0.144000	-1.527016	-2.769651	601.948997
0.145000	-1.806484	-3.128893	600.044327
0.146000	-1.726301	-3.009070	601.472496
0.147000	-1.326851	-2.689616	603.215546
0.148000	-1.846282	-3.128893	599.251732
0.149000	-1.806191	-3.128893	600.361168
0.150000	-1.846282	-3.049087	600.520027
0.151000	-1.606613	-2.889475	602.739624
0.152000	-1.406742	-2.690074	602.899475
0.153000	-1.806191	-3.088875	599.411179
0.154000	-2.085660	-3.368311	600.045570
0.155000	-2.006063	-3.168682	600.203285
0.156000	-1.646411	-2.969052	603.055275
0.157000	-1.406742	-2.729634	603.214554
0.158000	-1.766100	-3.088875	601.787338
0.159000	-1.925880	-3.168682	600.519539
0.160000	-1.885788	-3.208240	600.993172
0.161000	-1.845990	-3.248258	600.996628
0.162000	-1.606320	-3.048858	603.373093
0.163000	-1.766392	-3.208240	601.470917
0.164000	-1.925880	-3.487676	600.360092
0.165000	-1.726008	-3.208240	601.787979
0.166000	-1.526137	-3.088646	603.688675
0.167000	-2.005477	-3.487676	599.886627
0.168000	-2.085660	-3.607501	599.411514
0.169000	-1.766100	-3.288046	601.787643
0.170000	-1.845990	-3.487676	601.152031
0.171000	-2.205349	-3.806901	598.142319
0.172000	-2.005477	-3.726865	599.727432
0.173000	-1.845990	-3.687077	600.203354
0.174000	-1.726008	-3.407641	601.786919
0.175000	-2.005477	-3.726865	599.568977
0.176000	-2.125459	-3.687077	599.567497
0.177000	-2.125459	-3.727094	600.043686
0.178000	-1.925880	-3.567482	600.360359
0.179000	-1.805899	-3.487676	602.737801
0.180000	-2.085074	-3.607501	599.409630
0.181000	-2.205349	-3.846689	599.251579
0.182000	-2.005477	-3.846689	599.567833
0.183000	-2.245147	-3.846689	599.250679
0.184000	-2.124873	-3.846689	600.359116
0.185000	-2.045276	-3.607501	599.885483
0.186000	-1.925294	-3.527694	601.470749
0.187000	-1.765807	-3.567482	602.420723
0.188000	-2.125459	-3.607501	599.727280
0.189000	-2.244854	-3.886707	600.834969
0.190000	-2.045276	-3.647518	600.677422
0.191000	-2.244854	-3.806901	599.885483
0.192000	-2.364543	-3.886707	599.885483
0.193000	-2.364543	-3.766882	599.726944
0.194000	-1.925294	-3.687077	602.580101
0.195000	-2.044983	-3.487676	600.995316
0.196000	-2.484524	-3.966742	599.250679
0.197000	-2.324452	-3.806901	599.568405
0.198000	-2.085074	-3.527694	602.421043
0.199000	-2.284946	-3.767112	600.835625
0.200000	-2.404634	-3.727094	600.043686
0.201000	-2.325037	-3.767112	599.251579
0.202000	-2.324452	-3.607501	601.787437
0.203000	-2.124873	-3.448118	601.946182
0.204000	-2.044983	-3.487906	602.579842
0.205000	-2.085074	-3.408100	601.947090
0.206000	-2.364543	-3.647518	600.676178
0.207000	-2.444433	-3.647518	599.885147
0.208000	-2.324452	-3.567712	601.470917
0.209000	-2.205056	-3.328064	602.106529
0.210000	-2.085074	-3.328064	602.106041
0.211000	-2.044983	-3.168682	601.788887
0.212000	-2.164671	-3.448118	600.997871
0.213000	-2.284946	-3.448118	599.569565
0.214000	-2.484524	-3.567712	599.727432
0.215000	-2.444433	-3.447888	600.362480
0.216000	-2.044983	-3.168682	601.788567
0.217000	-2.364543	-3.408100	600.682175
0.218000	-2.444726	-3.408100	598.462128
0.219000	-2.244854	-3.288276	601.314934
0.220000	-2.245147	-3.168682	600.522018
0.221000	-2.284946	-3.208700	600.680710
0.222000	-2.484524	-3.408100	599.570961
0.223000	-2.325037	-3.208700	600.680710
0.224000	-2.245147	-3.128893	600.997772
0.225000	-2.325037	-3.208700	601.154846
0.226000	-2.524909	-3.448118	598.461693
0.227000	-2.484524	-3.408329	600.364944
0.228000	-2.325330	-3.128893	600.206589
0.229000	-2.325037	-3.168682	601.156075
0.230000	-2.365129	-3.168682	600.522995
0.231000	-2.524909	-3.527924	599.095596
0.232000	-2.484817	-3.368311	599.886879
0.233000	-2.444726	-3.208700	599.887703
0.234000	-2.165257	-3.089105	601.157219
0.235000	-2.045276	-3.049087	603.058586
0.236000	-2.325330	-3.128664	600.523651
0.237000	-2.325330	-3.288276	600.998360
0.238000	-2.365129	-3.328064	599.413483
0.239000	-2.405220	-3.368311	598.937546
0.240000	-2.325330	-3.288276	600.997772
0.241000	-2.165550	-3.088875	600.523750
0.242000	-2.125459	-3.128893	601.791603
0.243000	-2.285531	-3.208700	599.096420
0.244000	-2.325330	-3.328064	599.255867
0.245000	-2.125751	-3.208700	600.523651
0.246000	-1.925880	-3.088646	600.841621
0.247000	-2.205349	-3.447888	599.096420
0.248000	-2.085660	-3.288276	600.207733
0.249000	-1.766100	-3.048858	600.841621
0.250000	-1.925880	-3.328064	600.207733
0.251000	-2.125751	-3.368311	598.306381
0.252000	-1.885788	-3.288276	599.255867
0.253000	-1.726301	-3.208240	600.049530
0.254000	-1.566521	-2.928804	601.001396
0.255000	-1.766100	-3.128664	600.209785
0.256000	-1.805899	-3.328064	598.148666
0.257000	-1.805899	-3.288046	599.099297
0.258000	-1.366650	-3.088875	601.002792
0.259000	-1.366650	-2.969052	600.526375
0.260000	-1.646411	-3.248258	598.149239
0.261000	-1.766100	-3.328064	597.991608
0.262000	-1.726301	-3.367853	597.198021
0.263000	-1.526137	-3.248258	598.783379
0.264000	-1.366650	-3.009070	599.418503
0.265000	-1.246668	-3.048858	601.319382
0.266000	-1.366650	-2.969282	598.783699
0.267000	-1.486339	-3.128664	598.783699
0.268000	-1.526137	-3.168682	597.516846
0.269000	-1.526137	-3.368311	598.467461
0.270000	-1.326559	-3.088875	599.420235
0.271000	-1.366650	-3.248258	598.150131
0.272000	-1.566521	-3.328064	596.725075
0.273000	-1.006705	-2.969052	601.795067
0.274000	-0.847511	-2.849227	601.161415
0.275000	-1.246668	-3.248258	600.210457
0.276000	-1.366650	-3.288276	598.151711
0.277000	-1.007291	-3.088875	600.686134
0.278000	-1.047090	-3.168682	600.368492
0.279000	-1.326851	-3.527694	598.465897
0.280000	-1.126979	-3.527694	600.211182
0.281000	-0.807713	-3.208240	600.843849
0.282000	-1.007291	-3.367853	600.844917
0.283000	-1.207162	-3.727094	598.625343
0.284000	-1.246961	-3.687077	599.261292
0.285000	-0.927694	-3.567482	601.160927
0.286000	-0.727530	-3.487676	601.955086
0.287000	-1.007291	-3.687077	600.052322
0.288000	-1.087181	-3.886477	600.368492
0.289000	-1.167071	-3.966283	598.467796
0.290000	-0.807419	-3.806671	602.111069
0.291000	-0.727822	-3.726865	601.161247
0.292000	-0.767621	-3.806901	601.161247
0.293000	-0.847511	-3.966283	600.370308
0.294000	-1.126979	-4.205701	599.575233
