RI	RS	VM	VL
453.7906903052293	100.84237562338429	2336.181701941736	-100.84237562338429
218.49181385066595	16.80706260389738	3529.4831468184498	-84.03531301948689
-100.84237562338429	184.8776886428712	2268.953451526146	-705.89662936369
-420.17656509743455	151.2635634350764	1428.6003213312774	-84.03531301948689
-537.8260033247161	151.2635634350764	773.1248797792795	773.1248797792795
-705.89662936369	-134.45650083117903	-1613.4780099741486	1025.2308188377403
-638.6683789481004	-184.8776886428712	-1798.3556986170197	470.5977529091267
-369.7553772857424	-168.07062603897378	-2117.68988809107	117.64943822728168
-100.84237562338429	-16.80706260389738	-1865.5839490326093	-521.0189407208188
386.56243988963973	168.07062603897378	-2067.2687002793778	-991.6166936299454
655.4754415519978	201.68475124676857	-1882.3910116365068	-1058.844944045535
571.4401285325109	168.07062603897378	-2621.9017662079914	-537.8260033247161
352.948314681845	168.07062603897378	-2504.2523279807097	-470.5977529091267
134.45650083117903	67.22825041558951	-2420.2170149612225	-386.56243988963973
-218.49181385066595	-84.03531301948689	-1529.4426969546614	-67.22825041558951
-621.861316344203	-537.8260033247161	-1327.7579457078932	453.7906903052293
-789.9319423831769	-537.8260033247161	-100.84237562338429	1058.844944045535
-773.1248797792795	-487.404815513024	1529.4426969546614	1378.179133519585
-806.7390049870743	-638.6683789481004	4958.083468149727	1394.9861961234824
-705.89662936369	-487.404815513024	6033.735474799159	1075.6520066494322
-470.5977529091267	-117.64943822728168	4319.415089201627	403.36950249353714
-403.36950249353714	-16.80706260389738	3428.640771195065	184.8776886428712
-386.56243988963973	33.61412520779476	1764.7415734092249	-352.948314681845
-252.1059390584607	302.5271268701528	67.22825041558951	-924.3884432143559
50.42118781169214	571.4401285325109	-1462.214446539072	-2151.3040132988644
504.2118781169214	722.7036919675874	-2033.6545750715832	-3092.499519117118
789.9319423831769	789.9319423831769	-1210.1085074806113	-3916.0455867080896
756.3178171753822	638.6683789481004	1378.179133519585	-3176.5348321366046
621.861316344203	403.36950249353714	5663.980097513418	-1731.12744820143
436.9836277013319	-84.03531301948689	6672.40385374726	823.5460675909717
151.2635634350764	-453.7906903052293	6974.930980617413	4100.923275350961
168.07062603897378	-268.91300166235806	3613.518459837937	4201.765650974345
33.61412520779476	-235.29887645456336	-806.7390049870743	2537.8664531885042
-151.2635634350764	-134.45650083117903	-4453.871590032806	537.8260033247161
-319.3341894740502	-201.68475124676857	-4537.906903052292	33.61412520779476
-302.5271268701528	-403.36950249353714	-4168.151525766551	336.14125207794757
