MegaWin ASCII file

[DEFINITIONS]
ChannelCount=8
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.001000
PhaseName=Raw Free 15/12/2017 10:48:50


[COMMENT]



[SOURCE NAMES]
Quadriceps femoris muscle - rectus femoris
Quadriceps femoris muscle - rectus femoris
Quadriceps femoris muscle - rectus femoris
Quadriceps femoris muscle - rectus femoris
Quadriceps femoris muscle - vastus lateralis
Quadriceps femoris muscle - vastus lateralis


[SIDE INFO]
R
R
R
R
R
R


[UNITS]
uV
uV
uV
uV
uV
uV






[DATA]
	25.00	-30.00	-2.00	-6.00	8140.00	8115.00
	19.00	-35.00	2.00	-3.00	8139.00	8114.00
	14.00	-35.00	3.00	4.00	8137.00	8112.00
	13.00	-42.00	7.00	17.00	8137.00	8112.00
	9.00	-47.00	11.00	37.00	8135.00	8110.00
	0.00	-35.00	8.00	42.00	8134.00	8109.00
	-14.00	-19.00	4.00	34.00	8134.00	8109.00
	-20.00	-3.00	3.00	15.00	8133.00	8108.00
	-14.00	3.00	-2.00	3.00	8133.00	8108.00
	-7.00	6.00	1.00	-1.00	8133.00	8107.00
	-2.00	5.00	6.00	-3.00	8134.00	8108.00
	11.00	-1.00	8.00	1.00	8133.00	8108.00
	19.00	3.00	3.00	4.00	8132.00	8108.00
	16.00	16.00	1.00	-3.00	8131.00	8106.00
	11.00	23.00	-5.00	-6.00	8133.00	8107.00
	3.00	19.00	-8.00	-4.00	8132.00	8107.00
	5.00	15.00	-8.00	-2.00	8131.00	8106.00
	-3.00	12.00	-12.00	-4.00	8131.00	8106.00
	-17.00	9.00	-13.00	-8.00	8131.00	8106.00
	-17.00	5.00	-16.00	-11.00	8132.00	8106.00
	-18.00	-9.00	-10.00	-6.00	8131.00	8105.00
	-7.00	-34.00	-12.00	1.00	8130.00	8106.00
	3.00	-49.00	-16.00	-4.00	8131.00	8105.00
	18.00	-49.00	-13.00	-2.00	8131.00	8106.00
	20.00	-43.00	-6.00	1.00	8129.00	8105.00
	4.00	-30.00	-7.00	5.00	8130.00	8105.00
	-10.00	-10.00	-4.00	-5.00	8130.00	8105.00
	-12.00	3.00	-3.00	-5.00	8129.00	8104.00
	-10.00	20.00	-5.00	-9.00	8129.00	8104.00
	-8.00	26.00	-6.00	-4.00	8130.00	8104.00
	1.00	22.00	-2.00	-8.00	8130.00	8105.00
