Devices
1000
,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
7,3,-20.0257,15.0301,-704.893,-156110,68061.6,1413.46,396.556,671.467,0,13.248,-16.8004,-198.705,-3947.23,-39277.4,5216.2,724.333,469.865,0
7,4,-20.6378,15.339,-708.938,-158877,67805.1,1184.35,395.643,674.106,0,13.2095,-17.4999,-198.528,-2937.77,-38278.3,5164.85,729.189,464.798,0
8,0,-20.1731,15.479,-711.92,-159194,67578.3,1264.34,394.924,673.612,0,14.9654,-16.3031,-192.096,-4826.37,-36893.8,5332.42,729.941,475.125,0
8,1,-21.6037,16.0851,-710.198,-159215,67563.3,1409.83,395.133,674.183,0,12.9761,-17.1241,-185.503,-3234.56,-36291.8,4802.58,726.361,467.437,0
8,2,-21.2978,16.6297,-718.776,-161469,66663.1,1793.99,392.745,674.645,0,13.0349,-16.5218,-186.461,-4696.38,-36196,4630.46,727.88,475.187,0
8,3,-22.2813,16.5174,-722.596,-161618,68806.5,2342.1,395.221,673.663,0,12.3961,-16.6659,-182.001,-4144.75,-34924.1,4926.02,730.111,472.773,0
8,4,-21.9835,18.2429,-724.383,-165314,67723.7,2075.15,393.492,678.213,0,12.978,-16.0439,-180.182,-3031.35,-35440.8,4410.68,725.306,466.824,0
9,0,-22.1983,18.2314,-727.268,-165887,67918.1,2871.4,393.388,678.096,0,11.7969,-15.6072,-178.171,-2861.92,-33556.4,4838.17,733.662,466.063,0
9,1,-22.6864,17.9509,-729.618,-165077,67059,2554.33,391.91,676.251,0,12.04,-15.7672,-178.008,-3752.79,-33102.7,4541.54,736.038,471.082,0
9,2,-24.2348,18.9372,-731.403,-168057,67758,2882.08,392.641,679.773,0,10.0986,-14.811,-169.643,-1051.04,-31268.2,5036.85,737.683,456.196,0
