CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,AVI file path,Mouse x, Mouse y
 0:00:03.74, 115407, 195.37,248.36,147.29,192.66,69.44,102.98,165.76,,295.00,605.00
 0:00:03.81, 115408, 195.71,248.57,149.51,193.04,70.22,105.61,164.61,,295.00,605.00
 0:00:03.84, 115409, 195.88,248.58,141.84,190.80,66.19,93.71,161.10,,295.00,605.00
 0:00:03.91, 115410, 196.32,247.82,147.62,187.05,67.50,96.16,152.68,,295.00,605.00
 0:00:03.97, 115411, 196.38,247.88,-2000.00,-2000.00,-2000.00,96.34,152.96,,295.00,605.00
 0:00:04.01, 115412, 196.65,247.42,146.52,190.47,66.97,98.26,157.17,,295.00,605.00
 0:00:04.07, 115413, 196.96,247.68,140.16,190.18,62.36,85.86,161.13,,295.00,605.00
 0:00:04.14, 115414, 197.25,247.39,151.83,188.38,69.06,99.33,156.56,,295.00,605.00
 0:00:04.17, 115415, 197.26,247.20,-2000.00,-2000.00,-2000.00,99.34,155.69,,295.00,605.00
 0:00:04.24, 115416, 197.26,247.18,-2000.00,-2000.00,-2000.00,99.33,155.59,,295.00,605.00
 0:00:04.27, 115417, 197.38,247.25,151.70,190.18,70.24,108.42,158.43,,295.00,605.00
 0:00:04.34, 115418, 197.30,247.32,141.54,189.83,64.99,91.02,160.50,,295.00,605.00
 0:00:04.41, 115419, 204.10,250.06,160.50,198.27,68.95,109.64,173.33,,295.00,605.00
 0:00:04.44, 115420, 204.39,250.05,-2000.00,-2000.00,-2000.00,110.42,173.23,,295.00,605.00
 0:00:04.51, 115421, 204.51,250.21,-2000.00,-2000.00,-2000.00,110.77,173.98,,295.00,605.00
 0:00:04.54, 115422, 204.46,250.27,165.22,197.56,71.20,121.41,171.95,,295.00,605.00
 0:00:04.61, 115423, 204.65,249.98,164.90,199.76,71.23,124.12,174.48,,295.00,605.00
 0:00:04.67, 115424, 201.17,247.82,159.89,191.40,71.71,117.52,163.43,,295.00,605.00
 0:00:04.71, 115425, 201.51,247.77,159.24,186.15,71.42,117.78,152.56,,295.00,605.00
 0:00:04.77, 115426, 202.34,247.96,162.88,194.88,72.76,122.36,162.85,,295.00,605.00
 0:00:04.84, 115427, 202.86,247.81,160.65,191.14,71.31,119.82,163.61,,295.00,605.00
 0:00:04.87, 115428, 202.74,247.81,162.56,194.33,71.88,120.41,166.20,,295.00,605.00
 0:00:04.94, 115429, 202.55,247.87,160.36,194.66,71.16,118.74,169.57,,295.00,605.00
 0:00:04.97, 115430, 202.70,247.44,162.49,194.77,72.12,120.72,169.85,,295.00,605.00
 0:00:05.04, 115431, 202.44,247.33,162.39,194.52,72.16,122.30,170.50,,295.00,605.00
 0:00:05.11, 115432, 202.26,247.23,154.46,193.10,68.16,109.37,168.81,,295.00,605.00
 0:00:05.14, 115433, 207.63,245.08,172.39,185.02,70.82,128.76,153.37,,295.00,605.00
 0:00:05.21, 115434, 210.98,244.88,180.64,182.29,71.75,145.79,146.46,,295.00,605.00
 0:00:05.24, 115435, 211.22,244.41,179.51,178.87,71.43,144.63,138.96,,295.00,605.00
 0:00:05.31, 115436, 211.43,244.48,180.84,181.64,71.89,145.39,141.84,,295.00,605.00
 0:00:05.37, 115437, 210.08,244.78,177.93,182.20,71.37,142.34,145.03,,295.00,605.00
 0:00:05.41, 115438, 210.05,245.05,177.40,181.21,71.12,141.32,143.12,,295.00,605.00
 0:00:05.47, 115439, 209.97,245.05,176.88,180.88,70.99,140.07,141.11,,295.00,605.00
 0:00:05.51, 115440, 209.93,244.47,176.39,180.22,70.94,138.95,139.82,,295.00,605.00
 0:00:05.57, 115441, 202.48,262.09,-2000.00,-2000.00,-2000.00,120.92,225.71,,295.00,605.00
 0:00:05.64, 115442, 205.44,262.12,-2000.00,-2000.00,-2000.00,128.92,225.26,,295.00,605.00
 0:00:05.67, 115443, 205.97,262.29,158.42,237.00,69.33,114.09,238.90,,295.00,605.00
 0:00:05.74, 115444, 202.46,250.17,164.29,208.10,72.07,116.92,193.70,,295.00,605.00
 0:00:05.78, 115445, 203.92,251.00,166.09,206.52,72.85,129.89,194.84,,295.00,605.00
 0:00:05.84, 115446, 207.28,254.98,167.24,208.58,73.24,128.18,194.61,,295.00,605.00
 0:00:05.91, 115447, 255.96,279.69,-2000.00,-2000.00,-2000.00,265.92,305.81,,295.00,605.00
 0:00:05.94, 115448, 257.34,279.72,259.65,271.09,67.84,245.14,287.17,,295.00,605.00
 0:00:06.01, 115449, 257.72,279.88,268.41,278.98,73.59,250.15,290.83,,295.00,605.00
 0:00:06.04, 115450, 257.42,279.99,268.35,277.50,76.41,257.19,294.49,,295.00,605.00
 0:00:06.11, 115451, 257.94,277.09,273.10,270.40,76.59,264.99,280.82,,295.00,605.00
 0:00:06.18, 115452, 260.40,273.98,275.13,262.63,76.33,269.31,271.44,,295.00,605.00
 0:00:06.21, 115453, 260.08,274.19,274.43,262.76,76.43,265.81,272.67,,295.00,605.00
 0:00:06.28, 115454, 258.92,271.73,272.98,256.80,75.20,263.75,263.31,,295.00,605.00
 0:00:06.31, 115455, 257.21,268.10,269.98,249.56,75.62,260.18,253.29,,295.00,605.00
 0:00:06.38, 115456, 258.33,267.77,271.43,248.11,75.53,262.25,253.43,,295.00,605.00
 0:00:06.44, 115457, 258.21,267.17,271.26,246.10,75.26,261.08,249.97,,295.00,605.00
 0:00:06.48, 115458, 258.11,266.50,270.83,244.45,75.42,260.29,247.22,,295.00,605.00
 0:00:06.54, 115459, 257.64,265.86,269.84,240.80,75.39,258.39,241.76,,295.00,605.00
 0:00:06.58, 115460, 257.54,264.69,268.99,239.41,75.55,256.77,238.26,,295.00,605.00
