partID,tiempo,time,AngBiela,cadera,rodilla,tobillo
9,post,0.44,-28.91362758192284,49.8802,50.5335,2.43911
9,post,0.445,-26.861579238661793,48.6795,49.2072,2.17297
9,post,0.45,-24.90378245269977,47.5049,47.9395,1.92325
9,post,0.455,-23.027231082087297,46.3612,46.7366,1.69218
9,post,0.46,-21.219778421567604,45.2522,45.6028,1.48153
9,post,0.465,-19.470309089915148,44.184,44.5448,1.29321
9,post,0.47000000000000003,-17.768509846817576,43.1524,43.5656,1.12884
9,post,0.47500000000000003,-16.105843621127445,42.1672,42.6716,0.991236
9,post,0.48,-14.473601454358752,41.2283,41.8668,0.88102
9,post,0.485,-12.865194331867505,40.3379,41.1552,0.800163
9,post,0.49,-11.273804055891642,39.5003,40.5406,0.750462
9,post,0.495,-9.693815640038885,38.7108,40.0255,0.732528
9,post,0.5,-8.120645421948183,37.9757,39.6132,0.747655
9,post,0.505,-6.549595147699466,37.294,39.3053,0.79617
9,post,0.51,-4.9764478479205705,36.6681,39.1039,0.878592
9,post,0.515,-3.398241330810669,36.0977,39.0091,0.994161
9,post,0.52,-1.8116467115800525,35.5835,39.0217,1.14237
9,post,0.525,-0.21353334883612599,35.1227,39.1406,1.32163
9,post,0.53,1.3985384117127777,34.7206,39.3654,1.53026
9,post,0.535,3.02685008800687,34.3722,39.6937,1.766
9,post,0.54,4.674046453228473,34.0849,40.1238,2.02579
9,post,0.545,6.341783355405517,33.8508,40.653,2.3062
9,post,0.55,8.032639104616088,33.6774,41.2773,2.60306
9,post,0.555,9.748074743237774,33.5608,41.9936,2.91247
9,post,0.56,11.49026751089207,33.5004,42.798,3.22957
9,post,0.5650000000000001,13.260420618948746,33.5009,43.6854,3.54943
9,post,0.5700000000000001,15.060539419690766,33.5582,44.6512,3.86692
9,post,0.5750000000000001,16.891884420267417,33.6758,45.6911,4.17731
9,post,0.58,18.755830719387014,33.8488,46.7995,4.475
9,post,0.585,20.653524232639814,34.0869,47.9717,4.75536
9,post,0.59,22.58634005873413,34.38,49.2025,5.01414
9,post,0.595,24.554965747024127,34.7309,50.4864,5.24652
9,post,0.6,26.56037532576152,35.1397,51.8191,5.44932
9,post,0.605,28.603542823198037,35.6045,53.195,5.61893
9,post,0.61,30.685327676026372,36.125,54.6099,5.75334
9,post,0.615,32.80630284204165,36.6999,56.0593,5.85077
9,post,0.62,34.96761423683414,37.3253,57.539,5.91048
9,post,0.625,37.16966293086043,38.001,59.0439,5.93224
9,post,0.63,39.41382402282884,38.7223,60.5712,5.91712
9,post,0.635,41.701014245211574,39.4876,62.1163,5.86603
9,post,0.64,44.03232221781938,40.2947,63.6752,5.78173
9,post,0.645,46.408836560463016,41.1334,65.2449,5.66687
9,post,0.65,48.8324480338664,42.0084,66.8216,5.52558
9,post,0.655,51.303786891604176,42.9114,68.4023,5.36122
9,post,0.66,53.82508766907736,43.837,69.9834,5.17886
9,post,0.665,56.39789735233281,44.7811,71.5608,4.98289
9,post,0.67,59.02324726540175,45.7408,73.1324,4.77804
9,post,0.675,61.703543831023744,46.7111,74.6943,4.56945
9,post,0.68,64.44056321836369,47.6894,76.2435,4.36197
9,post,0.685,67.23545134301185,48.6701,77.7774,4.15983
9,post,0.6900000000000001,70.08992707835361,49.6492,79.2933,3.96709
9,post,0.6950000000000001,73.00570929777436,50.6234,80.7881,3.78825
9,post,0.7000000000000001,75.98394391686439,51.5957,82.2597,3.62599
9,post,0.705,79.02577685121392,52.5545,83.7058,3.48383
9,post,0.71,82.13292697420837,53.5073,85.1256,3.36345
9,post,0.715,85.30482132805261,54.4468,86.5159,3.26689
9,post,0.72,88.54145991274665,55.3752,87.876,3.19539
9,post,0.725,91.84341568608558,56.2931,89.2051,3.1498
9,post,0.73,95.20896977468402,57.2001,90.5012,3.12968
9,post,0.735,98.63640330515662,58.0961,91.7647,3.1356
9,post,0.74,102.12285148852767,58.9835,92.9946,3.16598
9,post,0.745,105.6643036202313,59.8643,94.1907,3.22029
9,post,0.75,109.2556030801113,60.7386,95.3512,3.29672
9,post,0.755,112.89102029021636,61.605,96.4769,3.39338
9,post,0.76,116.56196088361955,62.4712,97.5667,3.50844
9,post,0.765,120.260403451189,63.3311,98.6205,3.63987
9,post,0.77,123.97660771040755,64.1909,99.6361,3.78507
9,post,0.775,127.70026042096276,65.0484,100.613,3.94194
9,post,0.78,131.4193294691569,65.9027,101.551,4.10758
9,post,0.785,135.1217827412923,66.7588,102.449,4.28014
9,post,0.79,138.79787995485168,67.6119,103.305,4.45696
9,post,0.795,142.43558899613726,68.4573,104.116,4.63581
9,post,0.8,146.02345070924648,69.2998,104.882,4.81451
9,post,0.805,149.55401664284258,70.1347,105.6,4.99099
9,post,0.81,153.01754651440842,70.9602,106.269,5.16383
9,post,0.8150000000000001,156.40888370378778,71.7719,106.886,5.33129
9,post,0.8200000000000001,159.72115271743905,72.5689,107.448,5.49189
9,post,0.8250000000000001,162.95263468197692,73.3491,107.953,5.64487
9,post,0.8300000000000001,166.09931889283538,74.1087,108.399,5.78896
9,post,0.835,169.16235126560477,74.8433,108.785,5.92445
9,post,0.84,172.14058588469481,75.5493,109.106,6.05046
9,post,0.845,175.03631458128595,76.229,109.362,6.1675
9,post,0.85,177.85182918655883,76.8772,109.551,6.27608
9,post,0.855,-179.40912847372442,77.4871,109.669,6.37718
9,post,0.86,-176.7431558529807,78.0591,109.717,6.4716
9,post,0.865,-174.14593816765267,78.596,109.693,6.56131
9,post,0.87,-171.61346471317447,79.0876,109.596,6.64841
9,post,0.875,-169.14000591159464,79.5366,109.426,6.73521
9,post,0.88,-166.72155105834747,79.9404,109.181,6.82381
9,post,0.885,-164.35408944886692,80.2975,108.862,6.91722
9,post,0.89,-162.03246446299678,80.6095,108.47,7.01823
9,post,0.895,-159.7532383539664,80.87,108.006,7.13027
9,post,0.9,-157.5118274594146,81.0798,107.47,7.25609
9,post,0.905,-155.3047940325707,81.2397,106.864,7.39895
9,post,0.91,-153.12927328445898,81.3469,106.189,7.56127
9,post,0.915,-150.98182746830864,81.4038,105.449,7.74548
9,post,0.92,-148.85959179514407,81.4069,104.643,7.95391
9,post,0.925,-146.75912851819447,81.3586,103.777,8.18826
9,post,0.93,-144.6781458062793,81.2581,102.852,8.4494
9,post,0.935,-142.61377887042295,81.1034,101.871,8.73763
9,post,0.9400000000000001,-140.5625899638546,80.8957,100.835,9.05243
9,post,0.9450000000000001,-138.52114133980348,80.6361,99.7501,9.39302
9,post,0.9500000000000001,-136.48484933590854,80.3215,98.6156,9.75716
9,post,0.9550000000000001,-134.44855733201356,79.9569,97.4363,10.1421
9,post,0.96,-132.40825462355272,79.5412,96.2135,10.5446
9,post,0.965,-130.35534684359897,79.0725,94.9499,10.9606
9,post,0.97,-128.2846773719962,78.5549,93.6489,11.3853
9,post,0.975,-126.18593296843198,77.9872,92.3108,11.8132
9,post,0.98,-124.05166518156966,77.3677,90.9399,12.2389
9,post,0.985,-121.8715607710969,76.7029,89.5367,12.6567
9,post,0.99,-119.63530649670128,75.9925,88.1037,13.0605
9,post,0.995,-117.3325891180705,75.232,86.6424,13.4444
9,post,1.0,-114.95366835268733,74.4286,85.1556,13.803
9,post,1.0050000000000001,-112.486512086854,73.5824,83.6442,14.1307
9,post,1.01,-109.9230989114387,72.6904,82.1111,14.423
9,post,1.0150000000000001,-107.25483445951446,71.7614,80.5585,14.6754
9,post,1.02,-104.4748432375397,70.7884,78.9881,14.8846
9,post,1.025,-101.5785415831534,69.777,77.4027,15.0474
9,post,1.03,-98.563637665175,68.7291,75.8043,15.1614
9,post,1.035,-95.43127739919478,67.6482,74.1952,15.2256
9,post,1.04,-92.18661740536893,66.535,72.579,15.2395
9,post,1.045,-88.83710613503413,65.3872,70.958,15.2026
9,post,1.05,-85.39477570188815,64.2152,69.3351,15.116
9,post,1.055,-81.87566892419464,63.0169,67.7127,14.981
9,post,1.06,-78.29812045139778,61.7955,66.0942,14.8001
9,post,1.065,-74.68275676412229,60.5529,64.4829,14.575
9,post,1.07,-71.05249617417338,59.2988,62.8821,14.3092
9,post,1.075,-67.42853811997094,58.0271,61.2947,14.0064
9,post,1.08,-63.834373871115275,56.7514,59.7251,13.6702
9,post,1.085,-60.28948399264087,55.4675,58.1764,13.3042
9,post,1.09,-56.81088533106311,54.1871,56.6527,12.9136
9,post,1.095,-53.414047746850514,52.908,55.1587,12.5023
9,post,1.1,-50.10985743811056,51.6383,53.6982,12.0754
9,post,1.105,-46.90559096884144,50.383,52.2769,11.6368
9,post,1.11,-43.80669143809687,49.1455,50.9,11.192
9,post,1.115,-40.81447664880565,47.9289,49.572,10.7452
9,post,1.12,-37.92837364317267,46.737,48.2994,10.3014
9,post,1.125,-35.145059265986156,45.579,47.0866,9.86505
9,post,1.1300000000000001,-32.460350925341665,44.4536,45.94,9.44027
9,post,1.135,-29.86886281796495,43.3676,44.865,9.03158
9,post,1.1400000000000001,-27.363547562975906,42.3212,43.8673,8.64254
9,post,1.145,-24.937529666832976,41.3222,42.952,8.27696
9,post,1.1500000000000001,-22.583589861317503,40.3703,42.1249,7.93778
9,post,1.155,-20.294394286651812,39.4673,41.3903,7.62835
9,post,1.16,-18.06209342104261,38.6221,40.7533,7.3507
9,post,1.165,-15.880040954066382,37.83,40.2167,7.10661
9,post,1.17,-13.741017617504482,37.094,39.7847,6.89766
9,post,1.175,-11.6384343967129,36.416,39.4603,6.72434
9,post,1.18,-9.566046051724712,35.8002,39.2455,6.58712
9,post,1.185,-7.518008413029584,35.2412,39.1419,6.48535
9,post,1.19,-5.488792437904504,34.7471,39.15,6.4185
9,post,1.195,-3.4732300470373914,34.3101,39.2704,6.38477
9,post,1.2,-1.4671672964135478,33.9407,39.5025,6.38149
9,post,1.205,0.5342791332549268,33.6287,39.8449,6.4068
9,post,1.21,2.5346277757879307,33.3835,40.2961,6.45728
9,post,1.215,4.537487692336994,33.1965,40.8534,6.5293
9,post,1.22,6.545985513590143,33.0757,41.5135,6.61889
