tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,-34.069,-58.255,0.000,-50.000,34.069,8.255,35.05502
0.002,-34.073,-58.189,0.063,-50.000,34.136,8.190,35.10475
0.004,-34.046,-58.089,0.126,-50.000,34.172,8.089,35.11604
0.006,-34.056,-58.060,0.188,-50.000,34.244,8.060,35.18013
0.008,-34.044,-57.983,0.251,-49.999,34.295,7.983,35.21214
0.010,-34.040,-57.934,0.314,-49.999,34.355,7.935,35.25894
0.012,-34.065,-57.861,0.377,-49.999,34.442,7.862,35.32758
0.014,-34.076,-57.792,0.440,-49.998,34.516,7.794,35.38486
0.016,-34.074,-57.733,0.503,-49.997,34.576,7.736,35.43108
0.018,-34.058,-57.668,0.565,-49.997,34.623,7.671,35.46274
0.020,-34.074,-57.637,0.628,-49.996,34.702,7.641,35.53363
0.022,-34.043,-57.536,0.691,-49.995,34.734,7.540,35.54343
0.024,-34.054,-57.483,0.754,-49.994,34.808,7.489,35.6046
0.026,-34.049,-57.392,0.817,-49.993,34.866,7.398,35.64201
0.028,-34.057,-57.375,0.880,-49.992,34.936,7.382,35.70761
0.030,-34.057,-57.319,0.942,-49.991,34.999,7.328,35.75815
0.032,-34.034,-57.269,1.005,-49.990,35.039,7.280,35.7875
0.034,-34.077,-57.239,1.068,-49.989,35.145,7.250,35.88516
0.036,-34.062,-57.226,1.131,-49.987,35.193,7.239,35.92937
0.038,-34.060,-57.210,1.194,-49.986,35.253,7.224,35.98581
0.040,-34.082,-57.158,1.257,-49.984,35.338,7.174,36.05887
0.042,-34.077,-57.124,1.319,-49.983,35.396,7.142,36.10967
0.044,-34.077,-57.068,1.382,-49.981,35.459,7.087,36.16029
0.046,-34.086,-57.012,1.445,-49.979,35.531,7.033,36.22056
0.048,-34.066,-56.953,1.508,-49.977,35.574,6.976,36.2512
0.050,-34.074,-56.951,1.571,-49.975,35.644,6.975,36.32047
0.052,-34.106,-56.919,1.633,-49.973,35.740,6.946,36.40845
0.054,-34.087,-56.847,1.696,-49.971,35.783,6.876,36.438
0.056,-34.076,-56.855,1.759,-49.969,35.835,6.886,36.4904
0.058,-34.104,-56.857,1.822,-49.967,35.926,6.890,36.58054
0.060,-34.118,-56.807,1.885,-49.964,36.002,6.843,36.64685
