tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,19.009,37.157,19.000,-15.000,-0.009,-52.157,89.20544
0.002,19.035,37.167,19.251,-14.999,0.216,-52.166,89.16719
0.004,19.002,37.179,19.503,-14.997,0.500,-52.176,89.11755
0.006,19.011,37.153,19.754,-14.994,0.743,-52.147,89.03895
0.008,18.995,37.142,20.005,-14.990,1.011,-52.132,88.96929
0.010,19.007,37.118,20.257,-14.984,1.249,-52.102,88.89249
0.012,18.987,37.133,20.508,-14.977,1.521,-52.111,88.84696
0.014,19.040,37.131,20.759,-14.969,1.719,-52.100,88.79754
0.016,19.016,37.135,21.010,-14.960,1.994,-52.094,88.73888
0.018,19.026,37.127,21.261,-14.949,2.235,-52.076,88.67509
0.020,19.031,37.116,21.512,-14.937,2.481,-52.053,88.60655
0.022,19.047,37.082,21.763,-14.924,2.716,-52.006,88.51646
0.024,19.005,37.111,22.014,-14.909,3.009,-52.020,88.47717
0.026,19.035,37.100,22.265,-14.893,3.230,-51.993,88.41113
0.028,19.057,37.103,22.516,-14.876,3.458,-51.979,88.35643
0.030,19.058,37.080,22.766,-14.858,3.709,-51.938,88.27219
0.032,19.041,37.058,23.017,-14.838,3.976,-51.897,88.18586
0.034,19.067,37.058,23.267,-14.818,4.200,-51.875,88.12704
0.036,19.101,37.054,23.518,-14.795,4.417,-51.849,88.06539
0.038,19.052,37.036,23.768,-14.772,4.716,-51.808,87.97539
0.040,19.069,37.050,24.018,-14.748,4.949,-51.798,87.92785
0.042,19.087,37.036,24.268,-14.722,5.181,-51.758,87.85182
0.044,19.059,37.020,24.518,-14.695,5.459,-51.715,87.76566
0.046,19.137,37.031,24.768,-14.666,5.631,-51.697,87.72186
0.048,19.164,37.003,25.017,-14.637,5.853,-51.639,87.63098
0.050,19.185,37.020,25.267,-14.606,6.082,-51.626,87.58407
0.052,19.203,37.013,25.516,-14.574,6.312,-51.587,87.51151
0.054,19.187,36.987,25.765,-14.540,6.578,-51.527,87.41396
0.056,19.235,37.010,26.014,-14.506,6.779,-51.516,87.37461
0.058,19.266,36.980,26.263,-14.470,6.997,-51.450,87.27943
0.060,19.267,37.006,26.511,-14.433,7.244,-51.439,87.23454
0.062,19.325,36.965,26.760,-14.394,7.434,-51.359,87.13028
0.064,19.327,36.966,27.008,-14.355,7.681,-51.321,87.05996
0.066,19.345,36.972,27.256,-14.314,7.911,-51.285,86.99514
0.068,19.391,36.958,27.504,-14.272,8.113,-51.230,86.91409
0.070,19.387,36.935,27.751,-14.228,8.364,-51.163,86.81704
