tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,-194.901,-153.531,-177.000,-163.000,17.901,-9.469,20.2508
0.002,-195.465,-153.549,-176.749,-162.999,18.716,-9.450,20.96679
0.004,-196.171,-153.631,-176.497,-162.998,19.674,-9.367,21.78982
0.006,-196.704,-153.619,-176.246,-162.994,20.458,-9.376,22.50427
0.008,-197.599,-153.646,-175.995,-162.990,21.604,-9.344,23.53797
0.010,-198.234,-153.679,-175.744,-162.984,22.491,-9.305,24.33996
0.012,-198.989,-153.623,-175.492,-162.977,23.496,-9.354,25.29001
0.014,-199.990,-153.796,-175.241,-162.969,24.749,-9.173,26.39462
0.016,-201.049,-153.869,-174.990,-162.960,26.059,-9.090,27.59858
0.018,-202.035,-154.041,-174.739,-162.949,27.296,-8.908,28.71271
0.020,-203.215,-153.995,-174.488,-162.937,28.728,-8.942,30.08701
0.022,-204.389,-153.899,-174.237,-162.924,30.152,-9.024,31.47349
0.024,-205.577,-153.886,-173.986,-162.909,31.591,-9.023,32.85407
0.026,-207.001,-153.885,-173.735,-162.893,33.266,-9.009,34.46442
0.028,-207.902,-153.807,-173.484,-162.876,34.418,-9.069,35.59267
0.030,-209.374,-153.761,-173.234,-162.858,36.140,-9.097,37.26717
0.032,-210.648,-153.654,-172.983,-162.838,37.665,-9.184,38.7685
0.034,-211.865,-153.414,-172.733,-162.818,39.133,-9.404,40.24662
0.036,-213.323,-153.507,-172.482,-162.796,40.840,-9.289,41.88342
0.038,-214.365,-153.339,-172.232,-162.772,42.133,-9.433,43.17645
0.040,-215.961,-153.282,-171.982,-162.748,43.979,-9.466,44.98649
0.042,-217.537,-153.119,-171.732,-162.722,45.805,-9.603,46.80064
0.044,-218.871,-152.918,-171.482,-162.695,47.389,-9.777,48.3871
0.046,-219.869,-152.815,-171.232,-162.666,48.636,-9.852,49.62393
0.048,-221.413,-152.701,-170.983,-162.637,50.431,-9.936,51.40009
0.050,-223.299,-152.691,-170.733,-162.606,52.566,-9.915,53.49267
0.052,-224.651,-152.546,-170.484,-162.574,54.167,-10.027,55.08693
0.054,-225.904,-152.471,-170.235,-162.540,55.669,-10.069,56.57222
0.056,-227.169,-152.344,-169.986,-162.506,57.183,-10.162,58.07909
0.058,-228.816,-152.616,-169.737,-162.470,59.079,-9.853,59.89508
0.060,-230.316,-152.601,-169.489,-162.433,60.827,-9.831,61.61675
0.062,-231.565,-152.905,-169.240,-162.394,62.324,-9.489,63.04248
0.064,-232.505,-152.958,-168.992,-162.355,63.513,-9.396,64.20412
0.066,-233.364,-152.911,-168.744,-162.314,64.620,-9.403,65.30073
0.068,-233.969,-153.055,-168.496,-162.272,65.472,-9.217,66.11768
0.070,-234.872,-153.094,-168.249,-162.228,66.623,-9.134,67.24652
0.072,-235.226,-152.800,-168.002,-162.184,67.225,-9.384,67.87637
0.074,-235.633,-152.764,-167.754,-162.138,67.878,-9.373,68.52229
0.076,-236.112,-152.688,-167.508,-162.091,68.605,-9.403,69.2461
0.078,-236.752,-152.526,-167.261,-162.042,69.491,-9.516,70.13966
0.080,-237.005,-152.456,-167.015,-161.993,69.990,-9.537,70.63692
0.082,-237.130,-152.260,-166.768,-161.942,70.362,-9.682,71.02499
0.084,-237.257,-152.254,-166.523,-161.890,70.735,-9.636,71.38802
0.086,-237.800,-152.293,-166.277,-161.837,71.523,-9.544,72.15734
0.088,-238.244,-152.261,-166.032,-161.782,72.212,-9.521,72.83727
0.090,-238.325,-152.441,-165.787,-161.726,72.539,-9.285,73.13071
0.092,-238.202,-152.674,-165.542,-161.669,72.661,-8.995,73.21535
0.094,-237.540,-153.109,-165.297,-161.611,72.243,-8.502,72.74152
0.096,-237.233,-153.338,-165.053,-161.552,72.180,-8.214,72.64558
0.098,-237.221,-153.752,-164.809,-161.491,72.412,-7.739,72.82422
0.100,-237.570,-153.840,-164.566,-161.429,73.005,-7.589,73.39812
0.102,-237.647,-154.020,-164.322,-161.366,73.325,-7.346,73.69205
0.104,-237.195,-154.027,-164.079,-161.302,73.116,-7.275,73.47676
