tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,7.690,-22.687,12.000,57.000,4.310,79.687,73.09233
0.002,7.616,-22.671,11.749,56.999,4.133,79.670,73.09504
0.004,7.643,-22.677,11.497,56.997,3.855,79.674,73.12907
0.006,7.677,-22.651,11.246,56.994,3.569,79.646,73.13326
0.008,7.655,-22.641,10.995,56.990,3.339,79.631,73.14589
0.010,7.667,-22.648,10.743,56.984,3.076,79.632,73.17802
0.012,7.698,-22.648,10.492,56.977,2.794,79.626,73.20686
0.014,7.684,-22.604,10.241,56.969,2.557,79.573,73.18469
0.016,7.650,-22.601,9.990,56.960,2.340,79.560,73.20045
0.018,7.681,-22.575,9.739,56.949,2.057,79.524,73.20236
0.020,7.670,-22.594,9.488,56.937,1.818,79.531,73.24201
0.022,7.669,-22.557,9.237,56.924,1.568,79.481,73.22758
0.024,7.704,-22.564,8.986,56.909,1.281,79.473,73.26154
0.026,7.649,-22.530,8.735,56.893,1.086,79.423,73.24123
0.028,7.615,-22.514,8.484,56.876,0.869,79.390,73.2406
0.030,7.649,-22.476,8.234,56.858,0.585,79.334,73.22926
0.032,7.645,-22.467,7.983,56.838,0.338,79.305,73.23963
0.034,7.580,-22.448,7.733,56.818,0.152,79.266,73.23029
0.036,7.593,-22.418,7.482,56.795,-0.111,79.213,73.2215
0.038,7.598,-22.419,7.232,56.772,-0.366,79.191,73.24232
0.040,7.535,-22.382,6.982,56.748,-0.553,79.129,73.21332
0.042,7.543,-22.368,6.732,56.722,-0.811,79.090,73.21957
0.044,7.570,-22.375,6.482,56.695,-1.088,79.069,73.24806
0.046,7.576,-22.333,6.232,56.666,-1.344,78.999,73.22543
0.048,7.583,-22.319,5.983,56.637,-1.601,78.955,73.22924
0.050,7.598,-22.310,5.733,56.606,-1.865,78.916,73.24047
0.052,7.591,-22.305,5.484,56.574,-2.107,78.878,73.2496
0.054,7.620,-22.252,5.235,56.540,-2.385,78.792,73.21939
0.056,7.593,-22.261,4.986,56.506,-2.607,78.766,73.23764
0.058,7.600,-22.229,4.737,56.470,-2.863,78.699,73.22346
0.060,7.640,-22.189,4.489,56.433,-3.151,78.621,73.20611
0.062,7.606,-22.177,4.240,56.394,-3.366,78.571,73.2021
0.064,7.635,-22.176,3.992,56.355,-3.642,78.531,73.22143
0.066,7.642,-22.137,3.744,56.314,-3.898,78.451,73.19797
0.068,7.685,-22.140,3.496,56.272,-4.189,78.412,73.22402
0.070,7.679,-22.133,3.249,56.228,-4.430,78.361,73.22808
0.072,7.661,-22.107,3.002,56.184,-4.659,78.291,73.2114
0.074,7.690,-22.095,2.754,56.138,-4.935,78.233,73.21866
0.076,7.719,-22.083,2.508,56.091,-5.212,78.174,73.22513
0.078,7.736,-22.081,2.261,56.042,-5.475,78.123,73.23882
0.080,7.744,-22.063,2.015,55.993,-5.729,78.056,73.23413
0.082,7.751,-22.051,1.768,55.942,-5.982,77.993,73.23483
0.084,7.752,-22.053,1.522,55.890,-6.229,77.942,73.24703
0.086,7.765,-22.061,1.277,55.837,-6.488,77.898,73.26887
0.088,7.779,-22.077,1.032,55.782,-6.747,77.859,73.29736
0.090,7.770,-22.052,0.786,55.726,-6.983,77.779,73.28021
0.092,7.777,-22.075,0.542,55.669,-7.235,77.745,73.31281
0.094,7.782,-22.076,0.297,55.611,-7.485,77.687,73.32302
0.096,7.809,-22.127,0.053,55.552,-7.756,77.679,73.38809
0.098,7.843,-22.113,-0.191,55.491,-8.034,77.604,73.39136
0.100,7.870,-22.154,-0.434,55.429,-8.304,77.583,73.44531
0.102,7.872,-22.169,-0.678,55.366,-8.550,77.536,73.46815
0.104,7.862,-22.165,-0.921,55.302,-8.783,77.466,73.46727
0.106,7.921,-22.203,-1.163,55.236,-9.085,77.439,73.52683
0.108,7.931,-22.208,-1.406,55.169,-9.337,77.378,73.54093
0.110,7.918,-22.208,-1.648,55.101,-9.566,77.309,73.54237
0.112,7.949,-22.256,-1.889,55.032,-9.838,77.288,73.60229
0.114,7.987,-22.264,-2.130,54.962,-10.118,77.226,73.62646
0.116,7.991,-22.253,-2.371,54.890,-10.362,77.143,73.62109
0.118,8.023,-22.262,-2.612,54.817,-10.635,77.080,73.64443
0.120,8.063,-22.268,-2.852,54.743,-10.915,77.012,73.66624
0.122,8.083,-22.274,-3.092,54.668,-11.175,76.942,73.68159
0.124,8.115,-22.243,-3.331,54.592,-11.446,76.834,73.66526
0.126,8.164,-22.235,-3.570,54.514,-11.734,76.749,73.67618
0.128,8.187,-22.248,-3.809,54.435,-11.996,76.683,73.6992
0.130,8.207,-22.230,-4.047,54.355,-12.255,76.585,73.69134
0.132,8.276,-22.232,-4.285,54.274,-12.561,76.506,73.7179
0.134,8.304,-22.203,-4.522,54.191,-12.826,76.394,73.70142
0.136,8.353,-22.197,-4.759,54.108,-13.113,76.305,73.71404
0.138,8.338,-22.190,-4.996,54.023,-13.334,76.212,73.70303
