tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,5.732,67.273,0.000,-50.000,-5.732,-117.273,117.4129
0.002,5.752,67.310,0.063,-50.000,-5.689,-117.310,117.4479
0.004,5.792,67.348,0.126,-50.000,-5.666,-117.348,117.4842
0.006,5.816,67.388,0.188,-50.000,-5.628,-117.388,117.5224
0.008,5.829,67.403,0.251,-49.999,-5.578,-117.402,117.5347
0.010,5.841,67.425,0.314,-49.999,-5.527,-117.424,117.5542
0.012,5.882,67.471,0.377,-49.999,-5.505,-117.470,117.5988
0.014,5.909,67.528,0.440,-49.998,-5.469,-117.526,117.6529
0.016,5.892,67.572,0.503,-49.997,-5.389,-117.569,117.6926
0.018,5.896,67.658,0.565,-49.997,-5.331,-117.655,117.7752
0.020,5.893,67.708,0.628,-49.996,-5.264,-117.704,117.8215
0.022,5.946,67.766,0.691,-49.995,-5.255,-117.761,117.8784
0.024,5.970,67.793,0.754,-49.994,-5.217,-117.787,117.9026
0.026,6.036,67.851,0.817,-49.993,-5.219,-117.844,117.96
0.028,5.993,67.915,0.880,-49.992,-5.113,-117.908,118.0183
0.030,6.005,67.944,0.942,-49.991,-5.062,-117.935,118.0437
0.032,6.052,67.981,1.005,-49.990,-5.047,-117.971,118.0791
0.034,6.030,68.027,1.068,-49.989,-4.962,-118.015,118.1195
0.036,6.058,68.073,1.131,-49.987,-4.927,-118.060,118.1631
0.038,6.037,68.113,1.194,-49.986,-4.843,-118.099,118.1982
0.040,6.015,68.176,1.257,-49.984,-4.758,-118.160,118.2555
0.042,6.041,68.227,1.319,-49.983,-4.722,-118.210,118.3039
0.044,6.076,68.283,1.382,-49.981,-4.694,-118.264,118.3568
0.046,6.098,68.314,1.445,-49.979,-4.653,-118.293,118.3845
0.048,6.090,68.364,1.508,-49.977,-4.582,-118.341,118.4296
0.050,6.085,68.391,1.571,-49.975,-4.514,-118.367,118.4528
0.052,6.132,68.466,1.633,-49.973,-4.499,-118.439,118.5245
0.054,6.148,68.508,1.696,-49.971,-4.452,-118.480,118.5632
0.056,6.179,68.553,1.759,-49.969,-4.420,-118.523,118.6049
0.058,6.181,68.574,1.822,-49.967,-4.359,-118.541,118.6206
0.060,6.183,68.628,1.885,-49.964,-4.298,-118.593,118.6706
0.062,6.185,68.661,1.947,-49.962,-4.238,-118.623,118.6991
0.064,6.202,68.719,2.010,-49.960,-4.191,-118.678,118.7523
0.066,6.203,68.756,2.073,-49.957,-4.130,-118.713,118.7851
0.068,6.232,68.799,2.136,-49.954,-4.097,-118.754,118.8243
0.070,6.227,68.846,2.198,-49.952,-4.029,-118.798,118.8663
0.072,6.235,68.880,2.261,-49.949,-3.973,-118.828,118.8948
0.074,6.237,68.917,2.324,-49.946,-3.913,-118.863,118.9274
0.076,6.267,68.969,2.387,-49.943,-3.880,-118.912,118.9755
0.078,6.268,68.977,2.449,-49.940,-3.819,-118.917,118.9781
0.080,6.270,69.020,2.512,-49.937,-3.758,-118.957,119.0161
0.082,6.286,69.049,2.575,-49.934,-3.711,-118.982,119.0401
0.084,6.309,69.099,2.638,-49.930,-3.671,-119.029,119.0858
0.086,6.289,69.121,2.700,-49.927,-3.589,-119.048,119.1023
0.088,6.319,69.176,2.763,-49.924,-3.556,-119.100,119.1528
0.090,6.305,69.216,2.826,-49.920,-3.480,-119.137,119.1873
0.092,6.370,69.246,2.889,-49.916,-3.481,-119.163,119.2134
0.094,6.343,69.268,2.951,-49.913,-3.392,-119.181,119.2295
0.096,6.406,69.299,3.014,-49.909,-3.392,-119.208,119.2564
0.098,6.373,69.321,3.077,-49.905,-3.296,-119.226,119.2716
0.100,6.408,69.327,3.140,-49.901,-3.269,-119.228,119.2728
0.102,6.402,69.342,3.202,-49.897,-3.200,-119.239,119.2819
0.104,6.417,69.345,3.265,-49.893,-3.152,-119.239,119.2802
0.106,6.389,69.400,3.328,-49.889,-3.062,-119.289,119.3282
0.108,6.432,69.417,3.390,-49.885,-3.041,-119.302,119.3407
0.110,6.382,69.468,3.453,-49.881,-2.929,-119.349,119.3845
0.112,6.354,69.501,3.516,-49.876,-2.838,-119.377,119.4107
0.114,6.360,69.571,3.578,-49.872,-2.781,-119.443,119.4753
0.116,6.380,69.602,3.641,-49.867,-2.739,-119.469,119.5004
0.118,6.392,69.632,3.704,-49.863,-2.688,-119.495,119.5249
0.120,6.397,69.693,3.766,-49.858,-2.631,-119.551,119.5796
0.122,6.354,69.732,3.829,-49.853,-2.525,-119.585,119.6121
0.124,6.381,69.779,3.892,-49.848,-2.490,-119.627,119.6533
0.126,6.380,69.823,3.954,-49.843,-2.426,-119.666,119.6906
0.128,6.385,69.879,4.017,-49.838,-2.368,-119.718,119.7413
0.130,6.391,69.925,4.080,-49.833,-2.312,-119.759,119.7809
0.132,6.384,69.973,4.142,-49.828,-2.242,-119.801,119.8223
0.134,6.368,70.044,4.205,-49.823,-2.164,-119.867,119.8867
0.136,6.373,70.099,4.267,-49.818,-2.106,-119.917,119.9353
0.138,6.365,70.127,4.330,-49.812,-2.035,-119.939,119.9562
0.140,6.362,70.149,4.393,-49.807,-1.969,-119.955,119.9715
0.142,6.318,70.202,4.455,-49.801,-1.863,-120.004,120.018
0.144,6.309,70.226,4.518,-49.795,-1.791,-120.022,120.0349
0.146,6.287,70.266,4.580,-49.790,-1.706,-120.056,120.068
0.148,6.306,70.267,4.643,-49.784,-1.663,-120.051,120.0626
0.150,6.255,70.279,4.705,-49.778,-1.550,-120.057,120.067
0.152,6.240,70.272,4.768,-49.772,-1.472,-120.044,120.053
0.154,6.210,70.269,4.831,-49.766,-1.380,-120.035,120.0429
0.156,6.202,70.271,4.893,-49.760,-1.309,-120.031,120.0384
0.158,6.195,70.244,4.956,-49.754,-1.239,-119.998,120.0045
0.160,6.187,70.245,5.018,-49.748,-1.169,-119.993,119.9983
0.162,6.136,70.256,5.081,-49.741,-1.055,-119.998,120.0022
0.164,6.123,70.225,5.143,-49.735,-0.980,-119.959,119.9633
0.166,6.109,70.182,5.206,-49.728,-0.903,-119.910,119.9136
0.168,6.096,70.178,5.268,-49.722,-0.828,-119.899,119.9022
0.170,6.052,70.132,5.331,-49.715,-0.722,-119.847,119.8489
0.172,6.039,70.112,5.393,-49.708,-0.646,-119.820,119.8221
0.174,6.053,70.101,5.455,-49.701,-0.598,-119.803,119.804
0.176,6.004,70.089,5.518,-49.695,-0.486,-119.784,119.7851
0.178,6.005,70.105,5.580,-49.688,-0.424,-119.793,119.7934
0.180,5.992,70.097,5.643,-49.681,-0.349,-119.778,119.778
0.182,5.957,70.137,5.705,-49.673,-0.251,-119.811,119.8108
0.184,5.956,70.179,5.768,-49.666,-0.189,-119.845,119.8453
0.186,5.985,70.211,5.830,-49.659,-0.155,-119.870,119.8701
0.188,5.972,70.251,5.892,-49.652,-0.080,-119.902,119.9021
0.190,5.980,70.327,5.955,-49.644,-0.025,-119.972,119.9716
0.192,6.009,70.376,6.017,-49.637,0.008,-120.013,120.0129
0.194,5.982,70.451,6.080,-49.629,0.098,-120.080,120.08
0.196,5.952,70.500,6.142,-49.621,0.190,-120.121,120.1212
0.198,6.030,70.530,6.204,-49.614,0.174,-120.144,120.1437
0.200,6.032,70.524,6.267,-49.606,0.234,-120.130,120.1305
0.202,6.038,70.534,6.329,-49.598,0.291,-120.132,120.1325
0.204,6.033,70.605,6.391,-49.590,0.358,-120.194,120.1949
0.206,6.001,70.691,6.454,-49.582,0.453,-120.273,120.2739
0.208,5.972,70.728,6.516,-49.574,0.544,-120.302,120.3028
0.210,5.943,70.742,6.578,-49.565,0.635,-120.307,120.3086
0.212,6.008,70.747,6.640,-49.557,0.632,-120.304,120.3053
0.214,6.003,70.807,6.703,-49.549,0.699,-120.356,120.3577
0.216,6.033,70.901,6.765,-49.540,0.732,-120.442,120.4437
0.218,6.012,70.989,6.827,-49.532,0.815,-120.520,120.523
0.220,6.046,70.986,6.890,-49.523,0.843,-120.509,120.5116
0.222,6.096,70.976,6.952,-49.514,0.856,-120.490,120.4935
0.224,6.102,70.990,7.014,-49.506,0.912,-120.495,120.4988
0.226,6.103,71.017,7.076,-49.497,0.973,-120.514,120.518
0.228,6.096,70.993,7.138,-49.488,1.042,-120.480,120.4849
0.230,6.084,70.994,7.201,-49.479,1.116,-120.473,120.4782
0.232,6.063,70.936,7.263,-49.470,1.200,-120.406,120.4119
0.234,6.043,70.925,7.325,-49.461,1.282,-120.386,120.3926
0.236,6.058,70.915,7.387,-49.451,1.329,-120.366,120.3734
0.238,6.038,70.921,7.449,-49.442,1.412,-120.363,120.3714
0.240,6.016,70.871,7.511,-49.433,1.495,-120.303,120.3127
0.242,6.038,70.856,7.573,-49.423,1.536,-120.279,120.2884
0.244,5.983,70.846,7.635,-49.414,1.652,-120.260,120.2713
0.246,6.012,70.852,7.698,-49.404,1.686,-120.256,120.2673
0.248,5.978,70.903,7.760,-49.394,1.782,-120.297,120.3101
0.250,6.005,70.912,7.822,-49.384,1.816,-120.296,120.3096
0.252,5.976,70.909,7.884,-49.375,1.908,-120.283,120.2983
0.254,6.038,70.930,7.946,-49.365,1.907,-120.295,120.31
0.256,6.018,70.976,8.008,-49.355,1.990,-120.331,120.3475
0.258,6.039,71.016,8.070,-49.344,2.031,-120.361,120.3777
0.260,6.045,71.024,8.132,-49.334,2.086,-120.359,120.3769
0.262,6.053,71.026,8.194,-49.324,2.141,-120.351,120.3695
0.264,6.088,71.052,8.256,-49.314,2.168,-120.366,120.3854
0.266,6.097,71.085,8.318,-49.303,2.221,-120.388,120.4085
0.268,6.083,71.107,8.380,-49.293,2.297,-120.400,120.4221
0.270,6.063,71.162,8.442,-49.282,2.378,-120.444,120.4676
0.272,6.099,71.173,8.504,-49.272,2.404,-120.444,120.4682
0.274,6.077,71.222,8.566,-49.261,2.489,-120.483,120.5085
0.276,6.126,71.269,8.627,-49.250,2.501,-120.520,120.5454
0.278,6.125,71.300,8.689,-49.239,2.564,-120.540,120.5667
0.280,6.165,71.343,8.751,-49.228,2.586,-120.571,120.5987
0.282,6.177,71.359,8.813,-49.217,2.636,-120.576,120.6052
0.284,6.205,71.361,8.875,-49.206,2.669,-120.567,120.5962
0.286,6.239,71.407,8.937,-49.195,2.698,-120.602,120.6324
0.288,6.252,71.433,8.998,-49.184,2.746,-120.616,120.6474
0.290,6.279,71.427,9.060,-49.172,2.781,-120.599,120.6311
0.292,6.286,71.422,9.122,-49.161,2.836,-120.583,120.616
0.294,6.313,71.414,9.184,-49.149,2.871,-120.563,120.5973
0.296,6.327,71.413,9.246,-49.138,2.919,-120.551,120.5862
0.298,6.321,71.412,9.307,-49.126,2.987,-120.538,120.575
0.300,6.322,71.383,9.369,-49.114,3.047,-120.498,120.5361
0.302,6.335,71.382,9.431,-49.103,3.096,-120.485,120.5248
0.304,6.349,71.359,9.492,-49.091,3.143,-120.450,120.4911
0.306,6.392,71.337,9.554,-49.079,3.163,-120.416,120.4576
0.308,6.418,71.321,9.616,-49.067,3.198,-120.387,120.4297
0.310,6.425,71.324,9.677,-49.055,3.253,-120.378,120.4222
0.312,6.466,71.298,9.739,-49.042,3.273,-120.340,120.3846
0.314,6.494,71.272,9.801,-49.030,3.307,-120.302,120.3471
0.316,6.520,71.250,9.862,-49.018,3.342,-120.268,120.3144
0.318,6.514,71.243,9.924,-49.005,3.409,-120.248,120.2962
0.320,6.534,71.206,9.985,-48.993,3.452,-120.199,120.2484
0.322,6.555,71.215,10.047,-48.980,3.492,-120.195,120.2456
0.324,6.598,71.174,10.109,-48.968,3.511,-120.141,120.1926
0.326,6.654,71.168,10.170,-48.955,3.516,-120.123,120.1739
0.328,6.673,71.154,10.232,-48.942,3.558,-120.096,120.1484
0.330,6.756,71.120,10.293,-48.929,3.537,-120.049,120.1013
0.332,6.749,71.152,10.355,-48.916,3.606,-120.069,120.1226
0.334,6.804,71.114,10.416,-48.903,3.613,-120.017,120.0712
0.336,6.887,71.118,10.478,-48.890,3.591,-120.008,120.0615
0.338,6.949,71.102,10.539,-48.877,3.590,-119.978,120.0321
0.340,7.015,71.068,10.600,-48.863,3.585,-119.931,119.9847
0.342,7.058,71.088,10.662,-48.850,3.604,-119.938,119.9917
0.344,7.133,71.078,10.723,-48.837,3.590,-119.914,119.9679
0.346,7.195,71.075,10.784,-48.823,3.589,-119.898,119.9517
0.348,7.291,71.063,10.846,-48.810,3.555,-119.873,119.9256
0.350,7.304,71.081,10.907,-48.796,3.603,-119.876,119.9306
0.352,7.365,71.081,10.968,-48.782,3.604,-119.863,119.917
0.354,7.467,71.095,11.030,-48.768,3.562,-119.863,119.916
0.356,7.520,71.116,11.091,-48.754,3.571,-119.870,119.9234
0.358,7.601,71.148,11.152,-48.740,3.552,-119.888,119.9406
0.360,7.718,71.143,11.214,-48.726,3.496,-119.869,119.9199
0.362,7.749,71.201,11.275,-48.712,3.526,-119.913,119.9648
0.364,7.850,71.219,11.336,-48.698,3.485,-119.917,119.9673
0.366,7.960,71.236,11.397,-48.684,3.438,-119.920,119.9693
0.368,8.014,71.267,11.458,-48.669,3.444,-119.936,119.9857
0.370,8.047,71.254,11.519,-48.655,3.473,-119.909,119.9595
0.372,8.102,71.266,11.581,-48.640,3.479,-119.906,119.9568
0.374,8.164,71.263,11.642,-48.626,3.477,-119.888,119.9389
0.376,8.219,71.241,11.703,-48.611,3.484,-119.852,119.9026
0.378,8.246,71.236,11.764,-48.596,3.518,-119.833,119.8844
0.380,8.300,71.199,11.825,-48.582,3.525,-119.780,119.8321
0.382,8.341,71.146,11.886,-48.567,3.545,-119.713,119.7655
0.384,8.404,71.149,11.947,-48.552,3.543,-119.701,119.753
0.386,8.437,71.109,12.008,-48.537,3.571,-119.646,119.6989
0.388,8.458,71.065,12.069,-48.522,3.611,-119.587,119.641
0.390,8.534,71.027,12.130,-48.506,3.596,-119.533,119.5875
0.392,8.608,70.977,12.191,-48.491,3.583,-119.468,119.5221
0.394,8.636,70.945,12.252,-48.476,3.615,-119.420,119.475
0.396,8.761,70.870,12.313,-48.460,3.552,-119.330,119.3832
0.398,8.843,70.838,12.374,-48.445,3.531,-119.282,119.3345
0.400,8.959,70.791,12.434,-48.429,3.475,-119.220,119.2707
0.402,9.043,70.753,12.495,-48.413,3.453,-119.167,119.2169
0.404,9.110,70.736,12.556,-48.398,3.447,-119.134,119.1837
0.406,9.212,70.692,12.617,-48.382,3.405,-119.074,119.1229
0.408,9.274,70.647,12.678,-48.366,3.404,-119.013,119.0621
0.410,9.376,70.598,12.739,-48.350,3.363,-118.948,118.9951
0.412,9.422,70.575,12.799,-48.334,3.377,-118.909,118.9569
0.414,9.505,70.539,12.860,-48.318,3.355,-118.857,118.9041
0.416,9.559,70.456,12.921,-48.302,3.362,-118.758,118.8055
0.418,9.626,70.429,12.981,-48.285,3.355,-118.715,118.7622
0.420,9.644,70.400,13.042,-48.269,3.398,-118.669,118.7179
0.422,9.704,70.343,13.103,-48.253,3.399,-118.596,118.6446
0.424,9.743,70.343,13.163,-48.236,3.421,-118.579,118.6286
0.426,9.768,70.313,13.224,-48.220,3.456,-118.533,118.5833
0.428,9.813,70.275,13.285,-48.203,3.471,-118.478,118.529
0.430,9.852,70.248,13.345,-48.186,3.493,-118.434,118.4853
0.432,9.902,70.222,13.406,-48.169,3.503,-118.391,118.4428
0.434,9.919,70.177,13.466,-48.152,3.547,-118.330,118.3826
0.436,9.959,70.151,13.527,-48.136,3.567,-118.287,118.3403
0.438,9.996,70.114,13.587,-48.119,3.591,-118.233,118.2874
0.440,10.022,70.093,13.648,-48.101,3.625,-118.194,118.2496
0.442,10.067,70.048,13.708,-48.084,3.641,-118.133,118.1886
0.444,10.064,70.044,13.768,-48.067,3.705,-118.111,118.1688
0.446,10.105,70.017,13.829,-48.050,3.724,-118.067,118.1258
0.448,10.151,69.989,13.889,-48.032,3.738,-118.021,118.08
0.450,10.192,69.960,13.950,-48.015,3.757,-117.975,118.0346
0.452,10.219,69.938,14.010,-47.997,3.790,-117.935,117.9963
0.454,10.253,69.953,14.070,-47.979,3.817,-117.933,117.9944
0.456,10.232,69.951,14.130,-47.962,3.898,-117.913,117.9774
0.458,10.253,69.928,14.191,-47.944,3.938,-117.872,117.9375
