Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	4.409885	-7.919555	666.403268	-6.554334	41.838665	1.215369	-6.278280	-0.983539
0.020	4.440762	-7.852428	666.146245	-6.494264	41.790342	1.213113	-6.273449	-0.974901
0.030	4.463078	-7.785580	665.948691	-6.430612	41.741249	1.210943	-6.267938	-0.965632
0.040	4.474799	-7.717972	665.851060	-6.360760	41.691290	1.208982	-6.261354	-0.955283
0.050	4.480755	-7.647853	665.864196	-6.283267	41.641352	1.207349	-6.253730	-0.943626
0.060	4.489462	-7.574150	665.969976	-6.198023	41.593184	1.206110	-6.245504	-0.930676
0.070	4.507487	-7.497719	666.130893	-6.106262	41.548782	1.205255	-6.237330	-0.916676
0.080	4.535114	-7.421350	666.302165	-6.010459	41.509654	1.204713	-6.229854	-0.902062
0.090	4.565925	-7.348592	666.441622	-5.913961	41.476434	1.204373	-6.223566	-0.887394
0.100	4.590156	-7.282460	666.516830	-5.820188	41.448962	1.204083	-6.218742	-0.873224
0.110	4.599402	-7.224925	666.510858	-5.731534	41.426590	1.203616	-6.215441	-0.859931
0.120	4.589843	-7.177151	666.426618	-5.648400	41.408386	1.202702	-6.213495	-0.847565
0.130	4.562626	-7.139729	666.287743	-5.568916	41.393173	1.201134	-6.212507	-0.835813
0.140	4.522149	-7.112367	666.134041	-5.489695	41.379586	1.198918	-6.211901	-0.824113
0.150	4.474183	-7.093187	666.011591	-5.407437	41.366350	1.196311	-6.211056	-0.811913
0.160	4.425011	-7.078274	665.959964	-5.320628	41.352686	1.193700	-6.209485	-0.798941
0.170	4.381072	-7.062088	666.000472	-5.230411	41.338575	1.191345	-6.206989	-0.785346
0.180	4.347972	-7.038956	666.129149	-5.140227	41.324710	1.189167	-6.203708	-0.771656
0.190	4.328734	-7.005203	666.316427	-5.054542	41.312196	1.186739	-6.200087	-0.758580
0.200	4.322421	-6.960959	666.513575	-4.977446	41.302133	1.183498	-6.196743	-0.746788
0.210	4.324304	-6.910631	666.664753	-4.911725	41.295277	1.179067	-6.194309	-0.736761
0.220	4.327648	-6.861679	666.722515	-4.858487	41.291912	1.173499	-6.193268	-0.728712
0.230	4.326166	-6.822275	666.662888	-4.817133	41.292010	1.167271	-6.193837	-0.722574
0.240	4.315880	-6.798889	666.494725	-4.785519	41.295622	1.160990	-6.195941	-0.718013
0.250	4.295584	-6.794630	666.258987	-4.760344	41.303349	1.154957	-6.199293	-0.714488
0.260	4.266011	-6.808649	666.017598	-4.737821	41.316560	1.148899	-6.203524	-0.711366
0.270	4.228647	-6.836494	665.836186	-4.714478	41.337067	1.142108	-6.208294	-0.708054
0.280	4.185176	-6.871288	665.767022	-4.687775	41.366300	1.133955	-6.213330	-0.704116
0.290	4.137756	-6.905582	665.836825	-4.656387	41.404391	1.124460	-6.218399	-0.699329
0.300	4.089486	-6.933576	666.040994	-4.620172	41.449616	1.114536	-6.223283	-0.693677
0.310	4.044224	-6.953035	666.343931	-4.580008	41.498330	1.105740	-6.227764	-0.687334
0.320	4.005518	-6.966017	666.685122	-4.537511	41.545348	1.099709	-6.231630	-0.680608
0.330	3.975161	-6.977829	666.990939	-4.494612	41.584672	1.097602	-6.234668	-0.673864
0.340	3.952211	-6.994458	667.191284	-4.453060	41.610590	1.099798	-6.236681	-0.667434
0.350	3.933062	-7.019532	667.238004	-4.414058	41.619129	1.105868	-6.237524	-0.661542
0.360	3.912585	-7.052188	667.119853	-4.378176	41.609556	1.114735	-6.237193	-0.656280
0.370	3.885886	-7.086879	666.868308	-4.345509	41.585280	1.124924	-6.235906	-0.651629
0.380	3.849966	-7.115255	666.550770	-4.315842	41.553463	1.134838	-6.234103	-0.647489
0.390	3.804706	-7.129363	666.251953	-4.288703	41.523061	1.143032	-6.232336	-0.643706
0.400	3.752947	-7.124887	666.048913	-4.263377	41.501813	1.148422	-6.231046	-0.640100
0.410	3.699873	-7.103159	665.988085	-4.239129	41.493334	1.150408	-6.230342	-0.636517
0.420	3.652034	-7.070991	666.072270	-4.215674	41.495661	1.148898	-6.229904	-0.632915
0.430	3.616129	-7.038182	666.261689	-4.193614	41.502006	1.144299	-6.229085	-0.629424
0.440	3.597515	-7.013774	666.487986	-4.174439	41.503395	1.137480	-6.227178	-0.626334
0.450	3.598683	-7.002836	666.675600	-4.159910	41.491887	1.129653	-6.223700	-0.623978
0.460	3.618333	-7.005125	666.763060	-4.151129	41.462893	1.122127	-6.218535	-0.622579
0.470	3.651643	-7.015868	666.717838	-4.147862	41.415876	1.115958	-6.211905	-0.622131
0.480	3.691773	-7.028128	666.541685	-4.148598	41.353753	1.111671	-6.204226	-0.622406
0.490	3.732073	-7.035797	666.267065	-4.151349	41.281835	1.109211	-6.195989	-0.623076
0.500	3.768077	-7.036063	665.947923	-4.154731	41.206891	1.108126	-6.187705	-0.623882
0.510	3.798438	-7.030225	665.648593	-4.158702	41.136225	1.107817	-6.179871	-0.624759
0.520	3.824407	-7.022440	665.433044	-4.164484	41.076324	1.107703	-6.172871	-0.625831
0.530	3.848236	-7.017142	665.354393	-4.173709	41.031077	1.107292	-6.166800	-0.627291
0.540	3.871416	-7.016810	665.443900	-4.187371	41.000289	1.106274	-6.161344	-0.629260
0.550	3.893750	-7.021467	665.700654	-4.205230	40.979514	1.104658	-6.155847	-0.631700
0.560	3.913702	-7.030078	666.085985	-4.225989	40.961592	1.102869	-6.149595	-0.634451
0.570	3.929715	-7.042612	666.527490	-4.247992	40.939238	1.101693	-6.142168	-0.637332
0.580	3.941676	-7.061256	666.934685	-4.269963	40.907429	1.102008	-6.133648	-0.640237
0.590	3.951708	-7.089863	667.223104	-4.291365	40.864626	1.104412	-6.124582	-0.643168
0.600	3.963837	-7.131895	667.338861	-4.312277	40.812605	1.108915	-6.115724	-0.646190
0.610	3.982540	-7.188020	667.274327	-4.332958	40.755378	1.114854	-6.107740	-0.649352
0.620	4.010723	-7.254729	667.068822	-4.353453	40.697902	1.121090	-6.101005	-0.652624
0.630	4.047985	-7.324609	666.794110	-4.373529	40.645055	1.126419	-6.095593	-0.655904
0.640	4.089967	-7.387965	666.530041	-4.392931	40.600879	1.130013	-6.091380	-0.659075
0.650	4.129219	-7.435011	666.338803	-4.411733	40.567894	1.131652	-6.088178	-0.662086
0.660	4.157528	-7.458128	666.246690	-4.430455	40.546432	1.131680	-6.085799	-0.664987
0.670	4.168956	-7.453967	666.239924	-4.449757	40.534328	1.130751	-6.084044	-0.667891
0.680	4.162222	-7.424857	666.275947	-4.469822	40.527316	1.129578	-6.082662	-0.670866
0.690	4.141255	-7.378651	666.305138	-4.489820	40.520160	1.128801	-6.081322	-0.673838
0.700	4.113665	-7.326577	666.293237	-4.507892	40.508040	1.128938	-6.079611	-0.676563
0.710	4.087987	-7.279847	666.234699	-4.521696	40.487618	1.130316	-6.077080	-0.678694
0.720	4.070928	-7.246536	666.151913	-4.529124	40.457446	1.132963	-6.073306	-0.679894
0.730	4.065645	-7.229976	666.082204	-4.528760	40.417809	1.136539	-6.067991	-0.679910
0.740	4.071477	-7.229066	666.059943	-4.520038	40.370308	1.140414	-6.061062	-0.678623
0.750	4.084944	-7.239974	666.102416	-4.503385	40.317394	1.143909	-6.052732	-0.676080
0.760	4.101358	-7.258298	666.204878	-4.480426	40.261790	1.146612	-6.043455	-0.672530
0.770	4.116340	-7.280688	666.344926	-4.453953	40.205757	1.148610	-6.033775	-0.668415
0.780	4.126836	-7.305363	666.492348	-4.427338	40.150422	1.150517	-6.024138	-0.664274
0.790	4.131720	-7.331460	666.619580	-4.403473	40.095631	1.153227	-6.014769	-0.660568
0.800	4.131990	-7.357764	666.708961	-4.383840	40.040491	1.157502	-6.005693	-0.657534
0.810	4.130228	-7.381821	666.755071	-4.368279	39.984280	1.163565	-5.996847	-0.655155
0.820	4.129156	-7.400101	666.762606	-4.355485	39.927078	1.170907	-5.988200	-0.653229
0.830	4.129938	-7.409179	666.741808	-4.343735	39.869707	1.178400	-5.979782	-0.651487
0.840	4.131501	-7.407322	666.704074	-4.331349	39.813129	1.184635	-5.971634	-0.649666
0.850	4.131709	-7.395655	666.659769	-4.316897	39.757864	1.188345	-5.963741	-0.647541
0.860	4.129795	-7.378261	666.618163	-4.299475	39.703897	1.188793	-5.956018	-0.644968
0.870	4.128176	-7.360995	666.587242	-4.279230	39.651054	1.186038	-5.948367	-0.641961
0.880	4.131893	-7.349388	666.571409	-4.257784	39.599389	1.180996	-5.940757	-0.638759
0.890	4.145624	-7.346524	666.567919	-4.238040	39.549247	1.175188	-5.933266	-0.635800
0.900	4.170220	-7.351931	666.565393	-4.223168	39.501114	1.170282	-5.926067	-0.633571
0.910	4.201193	-7.362122	666.547480	-4.215227	39.455591	1.167622	-5.919397	-0.632397
0.920	4.230116	-7.372559	666.501490	-4.214105	39.413673	1.167959	-5.913516	-0.632272
0.930	4.247874	-7.379957	666.427704	-4.217372	39.377049	1.171407	-5.908675	-0.632833
0.940	4.247822	-7.383523	666.343010	-4.221132	39.348083	1.177554	-5.905079	-0.633477
0.950	4.227489	-7.384528	666.275130	-4.221485	39.329296	1.185619	-5.902861	-0.633595
0.960	4.188590	-7.384791	666.249904	-4.215777	39.322520	1.194583	-5.902068	-0.632762
0.970	4.135926	-7.385292	666.279240	-4.203037	39.328069	1.203314	-5.902641	-0.630822
0.980	4.076018	-7.385829	666.356582	-4.183550	39.344246	1.210739	-5.904383	-0.627824
0.990	4.016070	-7.385595	666.460889	-4.158082	39.367354	1.216036	-5.906926	-0.623905
1.000	3.963276	-7.383838	666.564775	-4.127436	39.392221	1.218820	-5.909736	-0.619210
1.010	3.923998	-7.379950	666.641877	-4.092627	39.413164	1.219267	-5.912194	-0.613917
1.020	3.902363	-7.373141	666.671590	-4.055436	39.425232	1.218101	-5.913741	-0.608311
1.030	3.898623	-7.362398	666.642450	-4.018701	39.425435	1.216378	-5.914030	-0.602827
1.040	3.908389	-7.347183	666.555755	-3.985863	39.413559	1.215081	-5.913018	-0.597979
1.050	3.923792	-7.328543	666.428487	-3.959856	39.392243	1.214692	-5.910948	-0.594191
1.060	3.936416	-7.309817	666.292053	-3.941958	39.366249	1.214983	-5.908257	-0.591626
1.070	3.940543	-7.296220	666.184067	-3.931298	39.341165	1.215154	-5.905450	-0.590122
1.080	3.934962	-7.293184	666.134830	-3.925300	39.322019	1.214251	-5.903012	-0.589265
1.090	3.922496	-7.303981	666.154579	-3.920749	39.312258	1.211621	-5.901372	-0.588564
1.100	3.907582	-7.327713	666.228150	-3.914932	39.313293	1.207224	-5.900875	-0.587626
1.110	3.893127	-7.358802	666.319928	-3.906386	39.324518	1.201727	-5.901747	-0.586263
1.120	3.878265	-7.388540	666.386671	-3.895047	39.343620	1.196389	-5.904023	-0.584502
1.130	3.858374	-7.408069	666.392800	-3.881795	39.366989	1.192748	-5.907475	-0.582508
1.140	3.827642	-7.411360	666.322904	-3.867625	39.390232	1.192143	-5.911583	-0.580443
1.150	3.782982	-7.396930	666.187807	-3.852917	39.408859	1.195123	-5.915578	-0.578353
1.160	3.727242	-7.367870	666.022263	-3.837294	39.419195	1.201000	-5.918600	-0.576151
1.170	3.669852	-7.330605	665.874815	-3.820106	39.419294	1.207824	-5.919926	-0.573697
1.180	3.624234	-7.293142	665.793377	-3.801139	39.409406	1.212948	-5.919165	-0.570919
1.190	3.602834	-7.263331	665.811674	-3.781027	39.391686	1.214003	-5.916341	-0.567882
1.200	3.611829	-7.247246	665.940457	-3.761141	39.369228	1.209857	-5.911824	-0.564786
1.210	3.647988	-7.247613	666.164841	-3.742947	39.344830	1.201089	-5.906170	-0.561865
1.220	3.699335	-7.262639	666.447502	-3.727112	39.319980	1.189731	-5.899937	-0.559251
1.230	3.749569	-7.286101	666.736925	-3.712871	39.294340	1.178424	-5.893530	-0.556872
1.240	3.784220	-7.309285	666.979142	-3.698114	39.265865	1.169419	-5.887120	-0.554457
1.250	3.795765	-7.324188	667.130393	-3.680221	39.231544	1.163885	-5.880641	-0.551649
1.260	3.785701	-7.326400	667.167581	-3.657178	39.188595	1.161794	-5.873876	-0.548165
1.270	3.763259	-7.316261	667.093787	-3.628490	39.135675	1.162255	-5.866593	-0.543925
1.280	3.741785	-7.298029	666.937383	-3.595572	39.073519	1.164010	-5.858649	-0.539117
1.290	3.734264	-7.277727	666.745044	-3.561534	39.004636	1.165835	-5.850008	-0.534167
1.300	3.749392	-7.260721	666.570343	-3.530314	38.932144	1.166760	-5.840665	-0.529624
1.310	3.789331	-7.249957	666.460372	-3.505327	38.858282	1.166137	-5.830547	-0.525962
1.320	3.849848	-7.245312	666.443247	-3.488119	38.783288	1.163616	-5.819444	-0.523393
1.330	3.922592	-7.243989	666.519542	-3.477632	38.705128	1.159098	-5.807051	-0.521760
1.340	3.998376	-7.241609	666.660441	-3.470471	38.620158	1.152732	-5.793078	-0.520576
1.350	4.070163	-7.233738	666.814296	-3.462111	38.524391	1.144957	-5.777379	-0.519202
1.360	4.134894	-7.217560	666.921143	-3.448608	38.414847	1.136549	-5.760028	-0.517094
1.370	4.193870	-7.193104	666.931588	-3.428136	38.290564	1.128591	-5.741303	-0.514016
1.380	4.251822	-7.163478	666.823943	-3.401706	38.152995	1.122330	-5.721600	-0.510136
1.390	4.315008	-7.133838	666.613030	-3.372768	38.005686	1.118915	-5.701312	-0.505956
1.400	4.388957	-7.109437	666.346482	-3.345877	37.853345	1.119095	-5.680730	-0.502123
1.410	4.476660	-7.093529	666.089430	-3.325030	37.700646	1.122957	-5.659998	-0.499187
1.420	4.577888	-7.086063	665.903662	-3.312370	37.551266	1.129780	-5.639144	-0.497425
1.430	4.689724	-7.083876	665.829492	-3.307768	37.407524	1.138066	-5.618184	-0.496789
1.440	4.807617	-7.082470	665.876452	-3.309314	37.270657	1.145780	-5.597233	-0.496986
1.450	4.926163	-7.078583	666.024342	-3.314265	37.141386	1.150846	-5.576581	-0.497619
1.460	5.039416	-7.072057	666.232077	-3.319863	37.020400	1.151805	-5.556682	-0.498304
1.470	5.141074	-7.065845	666.450006	-3.323728	36.908488	1.148398	-5.538073	-0.498721
1.480	5.225085	-7.064204	666.631879	-3.324026	36.806411	1.141743	-5.521250	-0.498630
1.490	5.286871	-7.070197	666.744136	-3.319703	36.714738	1.133955	-5.506571	-0.497898
1.500	5.324897	-7.083817	666.771329	-3.310800	36.633873	1.127345	-5.494218	-0.496542
1.510	5.341674	-7.101612	666.717535	-3.298575	36.564269	1.123525	-5.484222	-0.494748
1.520	5.343319	-7.118045	666.604397	-3.285226	36.506665	1.122823	-5.476511	-0.492830
1.530	5.337541	-7.127960	666.466413	-3.273326	36.462042	1.124258	-5.470950	-0.491146
1.540	5.331004	-7.128894	666.343601	-3.265131	36.431127	1.126110	-5.467319	-0.490007
1.550	5.327321	-7.122096	666.271994	-3.261852	36.413553	1.126772	-5.465268	-0.489568
1.560	5.326483	-7.111834	666.273638	-3.262915	36.407109	1.125461	-5.464288	-0.489726
1.570	5.325840	-7.103404	666.348817	-3.265557	36.407602	1.122444	-5.463745	-0.490067
1.580	5.322188	-7.100748	666.473737	-3.265255	36.409527	1.118760	-5.463010	-0.489930
1.590	5.314042	-7.104751	666.606122	-3.257194	36.407314	1.115691	-5.461593	-0.488623
1.600	5.302968	-7.112987	666.698740	-3.238214	36.396666	1.114295	-5.459237	-0.485709
1.610	5.293361	-7.121086	666.717466	-3.208133	36.375608	1.115141	-5.455926	-0.481183
1.620	5.291008	-7.125110	666.657408	-3.169672	36.345031	1.118217	-5.451830	-0.475457
1.630	5.301323	-7.123779	666.548844	-3.127127	36.308603	1.122922	-5.447253	-0.469152
1.640	5.327976	-7.119168	666.446884	-3.084667	36.271958	1.128181	-5.442588	-0.462853
1.650	5.372045	-7.115232	666.406590	-3.045089	36.241216	1.132709	-5.438304	-0.456942
1.660	5.431566	-7.114925	666.455103	-3.009437	36.221189	1.135373	-5.434903	-0.451559
1.670	5.501339	-7.117942	666.575861	-2.977347	36.213908	1.135544	-5.432826	-0.446663
1.680	5.573071	-7.120725	666.713504	-2.947730	36.218120	1.133352	-5.432336	-0.442128
1.690	5.636145	-7.118646	666.796824	-2.919326	36.230114	1.129714	-5.433456	-0.437813
1.700	5.679340	-7.108573	666.769212	-2.891005	36.245688	1.126096	-5.436017	-0.433584
1.710	5.693469	-7.089968	666.614218	-2.861981	36.262495	1.124027	-5.439802	-0.429331
1.720	5.674182	-7.064053	666.365928	-2.832084	36.281734	1.124556	-5.444716	-0.425004
1.730	5.623685	-7.032199	666.098942	-2.801970	36.308303	1.127900	-5.450887	-0.420654
1.740	5.550268	-6.995037	665.900845	-2.773057	36.349183	1.133457	-5.458648	-0.416437
1.750	5.465534	-6.952851	665.838441	-2.747150	36.410674	1.140159	-5.468395	-0.412585
1.760	5.380470	-6.906666	665.932440	-2.725948	36.495743	1.146954	-5.480397	-0.409343
1.770	5.302185	-6.859068	666.150923	-2.710716	36.602698	1.153163	-5.494655	-0.406922
1.780	5.232699	-6.814232	666.422343	-2.702169	36.725727	1.158514	-5.510879	-0.405474
1.790	5.169976	-6.777135	666.660352	-2.700374	36.856884	1.162869	-5.528585	-0.405060
1.800	5.110306	-6.752252	666.790053	-2.704516	36.988574	1.165867	-5.547259	-0.405602
1.810	5.050710	-6.742251	666.767897	-2.712725	37.115656	1.166804	-5.566503	-0.406847
1.820	4.990162	-6.747267	666.591854	-2.722371	37.236665	1.164922	-5.586127	-0.408401
1.830	4.929193	-6.765123	666.301606	-2.730947	37.353967	1.159960	-5.606165	-0.409867
1.840	4.868407	-6.792355	665.969728	-2.737137	37.472735	1.152607	-5.626793	-0.411000
1.850	4.807103	-6.825498	665.685433	-2.741394	37.598951	1.144512	-5.648156	-0.411815
1.860	4.743108	-6.861977	665.533557	-2.745650	37.737072	1.137810	-5.670198	-0.412549
1.870	4.674083	-6.900114	665.572812	-2.752326	37.888228	1.134404	-5.692574	-0.413527
1.880	4.599453	-6.938265	665.818251	-2.763239	38.049556	1.135363	-5.714706	-0.415014
1.890	4.521541	-6.973688	666.233159	-2.778988	38.214681	1.140680	-5.735932	-0.417119
1.900	4.445070	-7.002178	666.734711	-2.798958	38.375034	1.149384	-5.755668	-0.419801
1.910	4.375477	-7.019206	667.214055	-2.821698	38.521695	1.159861	-5.773514	-0.422907
1.920	4.317402	-7.022205	667.565632	-2.845398	38.647465	1.170209	-5.789313	-0.426235
1.930	4.274362	-7.012525	667.716258	-2.868330	38.748721	1.178593	-5.803172	-0.429573
1.940	4.249340	-6.995523	667.644441	-2.889282	38.826437	1.183584	-5.815436	-0.432758
1.950	4.245054	-6.978420	667.384023	-2.907993	38.885911	1.184476	-5.826617	-0.435730
1.960	4.263021	-6.967086	667.011368	-2.925467	38.935216	1.181464	-5.837264	-0.438593
1.970	4.301778	-6.963624	666.620863	-2.943960	38.983048	1.175623	-5.847859	-0.441624
1.980	4.355502	-6.966149	666.297402	-2.966481	39.036908	1.168673	-5.858781	-0.445219
1.990	4.414155	-6.970791	666.094935	-2.995920	39.102264	1.162576	-5.870374	-0.449774
2.000	4.465562	-6.974658	666.027111	-3.034150	39.182562	1.159044	-5.883028	-0.455560
2.010	4.498761	-6.978026	666.071179	-3.081433	39.279497	1.159062	-5.897192	-0.462628
2.020	4.507226	-6.984503	666.181467	-3.136311	39.393063	1.162615	-5.913263	-0.470789
2.030	4.490477	-6.999063	666.305928	-3.195935	39.521511	1.168735	-5.931436	-0.479650
2.040	4.453327	-7.025080	666.400213	-3.256734	39.661699	1.175880	-5.951634	-0.488705
2.050	4.403162	-7.062098	666.436865	-3.315329	39.810072	1.182499	-5.973570	-0.497471
2.060	4.346475	-7.105625	666.409320	-3.369501	39.963974	1.187555	-5.996911	-0.505620
2.070	4.286122	-7.149054	666.330496	-3.418758	40.122617	1.190774	-6.021429	-0.513072
2.080	4.220297	-7.186571	666.226195	-3.464087	40.287231	1.192559	-6.047080	-0.519957
2.090	4.143493	-7.215401	666.125378	-3.506978	40.460324	1.193652	-6.073980	-0.526474
2.100	4.048785	-7.236307	666.051181	-3.548354	40.644359	1.194790	-6.102288	-0.532745
2.110	3.930384	-7.252486	666.016472	-3.588109	40.840303	1.196491	-6.132026	-0.538742
2.120	3.785749	-7.267878	666.025145	-3.625357	41.046580	1.198967	-6.162918	-0.544327
2.130	3.617069	-7.285776	666.076373	-3.659038	41.258798	1.202072	-6.194304	-0.549342
2.140	3.431975	-7.307932	666.166781	-3.688387	41.470349	1.205283	-6.225220	-0.553673
2.150	3.242995	-7.333943	666.288002	-3.713069	41.673673	1.207776	-6.254603	-0.557277
2.160	3.065357	-7.360931	666.422485	-3.733057	41.861762	1.208633	-6.281565	-0.560164
2.170	2.913383	-7.383951	666.543493	-3.748485	42.029527	1.207156	-6.305594	-0.562377
2.180	2.796436	-7.397567	666.622388	-3.759608	42.174695	1.203177	-6.326624	-0.563979
2.190	2.715859	-7.398228	666.640329	-3.766884	42.298060	1.197231	-6.344960	-0.565055
2.200	2.664446	-7.386227	666.597637	-3.771092	42.402970	1.190446	-6.361104	-0.565722
2.210	2.629298	-7.366038	666.515116	-3.773462	42.494133	1.184146	-6.375569	-0.566148
2.220	2.597306	-7.344716	666.425951	-3.775751	42.576085	1.179350	-6.388720	-0.566567
2.230	2.560718	-7.329251	666.361331	-3.780140	42.651882	1.176431	-6.400714	-0.567281
2.240	2.519838	-7.324141	666.335901	-3.788823	42.722512	1.175069	-6.411558	-0.568606
2.250	2.481613	-7.330105	666.339841	-3.803432	42.787198	1.174466	-6.421228	-0.570795
2.260	2.455385	-7.344321	666.342248	-3.824570	42.844349	1.173715	-6.429781	-0.573965
2.270	2.448374	-7.362006	666.305649	-3.851665	42.892709	1.172153	-6.437392	-0.578063
2.280	2.462861	-7.378631	666.206084	-3.883104	42.932289	1.169557	-6.444296	-0.582868
2.290	2.495617	-7.391686	666.049676	-3.916482	42.964781	1.166116	-6.450687	-0.588017
2.300	2.539224	-7.401199	665.877111	-3.948962	42.993289	1.162280	-6.456640	-0.593047
2.310	2.584707	-7.409025	665.752283	-3.977841	43.021337	1.158590	-6.462064	-0.597496
2.320	2.624595	-7.417573	665.738520	-4.001293	43.051395	1.155545	-6.466712	-0.601031
2.330	2.655122	-7.428700	665.871852	-4.018986	43.083434	1.153472	-6.470229	-0.603567
2.340	2.676557	-7.443190	666.142368	-4.032280	43.114155	1.152435	-6.472213	-0.605318
2.350	2.691845	-7.460922	666.491311	-4.043873	43.137375	1.152228	-6.472309	-0.606741
2.360	2.704767	-7.481470	666.825760	-4.057007	43.145707	1.152466	-6.470312	-0.608406
2.370	2.718803	-7.504577	667.047152	-4.074407	43.133120	1.152715	-6.466277	-0.610812
2.380	2.736935	-7.530007	667.085005	-4.097244	43.097567	1.152626	-6.460581	-0.614201
2.390	2.761699	-7.556892	666.923734	-4.124543	43.042569	1.152031	-6.453897	-0.618443
2.400	2.794664	-7.583348	666.610926	-4.153362	42.976984	1.150982	-6.447087	-0.623056
2.410	2.835271	-7.606946	666.242063	-4.179731	42.912928	1.149744	-6.441042	-0.627359
2.420	2.879893	-7.625836	665.927196	-4.200001	42.862539	1.148743	-6.436520	-0.630700
2.430	2.922193	-7.639644	665.753410	-4.212079	42.834635	1.148462	-6.434009	-0.632678
2.440	2.955174	-7.649272	665.758169	-4.216185	42.832232	1.149289	-6.433602	-0.633291
2.450	2.974156	-7.655662	665.921910	-4.214907	42.851652	1.151376	-6.434936	-0.632943
2.460	2.979182	-7.658494	666.178578	-4.212524	42.883482	1.154598	-6.437235	-0.632342
2.470	2.975517	-7.655907	666.436769	-4.213793	42.915078	1.158657	-6.439482	-0.632287
2.480	2.971972	-7.645607	666.604348	-4.222511	42.933864	1.163270	-6.440682	-0.633436
2.490	2.977983	-7.626626	666.612184	-4.240279	42.930561	1.168264	-6.440110	-0.636094
2.500	3.000808	-7.600624	666.433853	-4.265953	42.901591	1.173513	-6.437487	-0.640117
2.510	3.043668	-7.571952	666.096996	-4.296164	42.850086	1.178762	-6.433010	-0.644976
2.520	3.104788	-7.546445	665.681125	-4.326798	42.785175	1.183534	-6.427278	-0.649981
2.530	3.177095	-7.529498	665.298941	-4.354680	42.719557	1.187235	-6.421107	-0.654545
2.540	3.248873	-7.524255	665.064526	-4.378469	42.665893	1.189408	-6.415301	-0.658352
2.550	3.305958	-7.530587	665.058693	-4.398299	42.633010	1.189951	-6.410413	-0.661340
2.560	3.335742	-7.545137	665.304193	-4.414598	42.623124	1.189141	-6.406562	-0.663546
2.570	3.332113	-7.562214	665.759345	-4.427069	42.631018	1.187496	-6.403368	-0.664965
2.580	3.299356	-7.575116	666.331120	-4.434652	42.645414	1.185597	-6.400033	-0.665533
2.590	3.252871	-7.577682	666.901897	-4.436508	42.652046	1.184012	-6.395550	-0.665241
2.600	3.215713	-7.565964	667.360357	-4.433313	42.637487	1.183298	-6.388975	-0.664306
2.610	3.211865	-7.539647	667.627003	-4.427953	42.592652	1.183975	-6.379708	-0.663238
2.620	3.258576	-7.502595	667.668228	-4.425045	42.515040	1.186374	-6.367690	-0.662761
2.630	3.360562	-7.461971	667.497629	-4.429427	42.409146	1.190397	-6.353453	-0.663587
2.640	3.508323	-7.426076	667.167011	-4.444235	42.284997	1.195353	-6.337993	-0.666135
2.650	3.681273	-7.401898	666.750922	-4.469464	42.155348	1.200076	-6.322503	-0.670335
2.660	3.854361	-7.393462	666.328608	-4.501758	42.032395	1.203329	-6.308058	-0.675606
2.670	4.005462	-7.401310	665.967403	-4.535624	41.924942	1.204326	-6.295344	-0.681058
2.680	4.120770	-7.422614	665.711415	-4.565584	41.836787	1.203109	-6.284523	-0.685820
2.690	4.196642	-7.451625	665.577447	-4.588251	41.766706	1.200559	-6.275259	-0.689364
2.700	4.237960	-7.480704	665.557223	-4.603435	41.709957	1.198031	-6.266923	-0.691666
2.710	4.254361	-7.502293	665.623747	-4.613850	41.660728	1.196800	-6.258900	-0.693162
2.720	4.256189	-7.511464	665.740358	-4.623643	41.614640	1.197615	-6.250881	-0.694511
2.730	4.251639	-7.507840	665.871348	-4.636418	41.570344	1.200545	-6.242999	-0.696293
2.740	4.245731	-7.495655	665.991616	-4.653630	41.529604	1.205074	-6.235755	-0.698752
2.750	4.240818	-7.481702	666.091516	-4.674031	41.495910	1.210313	-6.229761	-0.701710
2.760	4.237911	-7.472207	666.174449	-4.694343	41.472353	1.215193	-6.225449	-0.704672
2.770	4.237933	-7.470192	666.248504	-4.710729	41.459800	1.218602	-6.222873	-0.707053
2.780	4.242205	-7.474470	666.317151	-4.720214	41.456200	1.219507	-6.221692	-0.708403
2.790	4.251894	-7.480562	666.374605	-4.721463	41.457261	1.217122	-6.221315	-0.708530
2.800	4.266702	-7.482944	666.408494	-4.714862	41.458087	1.211150	-6.221122	-0.707503
2.810	4.283711	-7.477494	666.407890	-4.702213	41.454936	1.202023	-6.220655	-0.705606
2.820	4.297492	-7.463128	666.371850	-4.686314	41.446260	1.190941	-6.219689	-0.703258
2.830	4.301975	-7.442167	666.313569	-4.670464	41.432647	1.179595	-6.218191	-0.700941
2.840	4.293264	-7.419487	666.257736	-4.657832	41.415884	1.169604	-6.216196	-0.699104
2.850	4.271777	-7.400895	666.232106	-4.650768	41.397714	1.161948	-6.213707	-0.698070
2.860	4.242390	-7.391374	666.257099	-4.650171	41.378905	1.156711	-6.210651	-0.697954
2.870	4.212511	-7.393744	666.337755	-4.655183	41.358932	1.153272	-6.206902	-0.698622
2.880	4.189206	-7.407934	666.460997	-4.663457	41.336235	1.150816	-6.202349	-0.699734
2.890	4.176815	-7.430935	666.598962	-4.672004	41.308841	1.148852	-6.196955	-0.700872
2.900	4.175943	-7.457515	666.716947	-4.678235	41.275088	1.147444	-6.190796	-0.701682
