77.608	7.277	48.609	-174.010	-66.984	37.198	82.525	8.880	3.851	-106.073	-78.869	103.295	93.038	15.639	25.854	67.641	-16.818	-95.981
77.667	6.409	48.600	-171.551	-66.950	34.946	82.497	8.661	3.849	-104.155	-78.175	101.724	93.049	15.669	25.869	67.586	-16.808	-95.979
77.731	5.560	48.574	-169.148	-66.891	32.747	82.462	8.437	3.838	-102.400	-77.483	100.281	93.060	15.670	25.877	67.494	-16.793	-95.966
77.796	4.720	48.545	-166.828	-66.784	30.624	82.429	8.239	3.846	-100.908	-76.775	99.088	93.070	15.707	25.883	67.451	-16.748	-95.950
77.867	3.885	48.502	-164.587	-66.664	28.570	82.400	8.028	3.841	-99.497	-76.069	97.932	93.081	15.710	25.885	67.375	-16.726	-95.917
77.942	3.072	48.446	-162.445	-66.521	26.624	82.369	7.836	3.823	-98.181	-75.381	96.871	93.084	15.708	25.916	67.294	-16.733	-95.913
78.021	2.278	48.380	-160.377	-66.355	24.765	82.342	7.618	3.824	-97.102	-74.685	96.014	93.093	15.721	25.922	67.244	-16.713	-95.871
78.099	1.497	48.313	-158.386	-66.154	22.986	82.314	7.426	3.806	-96.023	-74.008	95.174	93.100	15.728	25.937	67.185	-16.707	-95.836
78.182	0.728	48.231	-156.440	-65.939	21.266	82.289	7.232	3.788	-95.016	-73.346	94.420	93.104	15.756	25.962	67.157	-16.690	-95.810
78.268	-0.028	48.144	-154.570	-65.700	19.637	82.268	7.024	3.773	-94.119	-72.696	93.780	93.111	15.746	25.990	67.086	-16.701	-95.774
78.359	-0.765	48.046	-152.739	-65.443	18.068	82.251	6.838	3.745	-93.190	-72.062	93.157	93.121	15.747	25.992	67.024	-16.686	-95.716
78.450	-1.472	47.947	-150.954	-65.160	16.581	82.231	6.643	3.724	-92.363	-71.437	92.629	93.132	15.748	25.986	66.958	-16.656	-95.641
78.547	-2.183	47.834	-149.183	-64.854	15.110	82.216	6.441	3.689	-91.536	-70.846	92.095	93.139	15.752	25.989	66.924	-16.637	-95.572
78.647	-2.871	47.715	-147.441	-64.529	13.701	82.201	6.261	3.655	-90.732	-70.257	91.622	93.141	15.758	26.004	66.874	-16.632	-95.535
78.749	-3.530	47.593	-145.744	-64.184	12.369	82.188	6.078	3.639	-90.051	-69.696	91.284	93.145	15.774	26.007	66.830	-16.609	-95.494
78.851	-4.177	47.469	-144.093	-63.813	11.101	82.177	5.898	3.596	-89.314	-69.154	90.892	93.151	15.772	26.021	66.759	-16.611	-95.476
78.957	-4.804	47.334	-142.470	-63.425	9.877	82.164	5.713	3.553	-88.618	-68.635	90.547	93.159	15.788	26.035	66.726	-16.593	-95.445
79.060	-5.403	47.208	-140.907	-63.004	8.739	82.154	5.552	3.512	-87.941	-68.135	90.252	93.169	15.787	26.026	66.671	-16.573	-95.400
79.169	-5.980	47.071	-139.357	-62.568	7.625	82.144	5.393	3.476	-87.334	-67.659	90.037	93.175	15.812	26.037	66.656	-16.562	-95.415
79.276	-6.542	46.933	-137.849	-62.101	6.550	82.135	5.234	3.435	-86.769	-67.210	89.850	93.184	15.809	26.038	66.572	-16.558	-95.418
79.385	-7.070	46.791	-136.377	-61.620	5.530	82.129	5.096	3.399	-86.249	-66.785	89.739	93.193	15.808	26.040	66.479	-16.561	-95.429
79.493	-7.574	46.651	-134.958	-61.121	4.565	82.123	4.932	3.364	-85.788	-66.373	89.644	93.200	15.809	26.047	66.400	-16.556	-95.484
79.600	-8.058	46.510	-133.601	-60.612	3.658	82.118	4.817	3.324	-85.291	-65.987	89.560	93.208	15.811	26.044	66.311	-16.557	-95.520
79.707	-8.494	46.377	-132.309	-60.096	2.850	82.114	4.685	3.295	-84.891	-65.619	89.536	93.219	15.795	26.039	66.187	-16.554	-95.552
79.809	-8.929	46.252	-131.105	-59.565	2.110	82.112	4.574	3.258	-84.463	-65.259	89.497	93.232	15.780	26.033	66.087	-16.540	-95.587
79.912	-9.327	46.129	-129.977	-59.045	1.460	82.108	4.471	3.235	-84.092	-64.925	89.497	93.240	15.780	26.035	66.021	-16.517	-95.637
80.014	-9.700	46.011	-128.933	-58.540	0.887	82.106	4.378	3.213	-83.746	-64.621	89.499	93.247	15.776	26.049	65.949	-16.501	-95.695
80.112	-10.040	45.905	-127.994	-58.051	0.419	82.102	4.301	3.195	-83.420	-64.342	89.500	93.255	15.769	26.049	65.861	-16.449	-95.706
80.211	-10.350	45.799	-127.120	-57.588	0.006	82.098	4.240	3.185	-83.114	-64.068	89.489	93.265	15.760	26.057	65.792	-16.405	-95.742
80.303	-10.634	45.708	-126.350	-57.146	-0.326	82.092	4.178	3.171	-82.816	-63.822	89.439	93.272	15.745	26.068	65.712	-16.349	-95.770
80.392	-10.886	45.631	-125.652	-56.736	-0.608	82.086	4.136	3.175	-82.547	-63.602	89.402	93.281	15.724	26.058	65.614	-16.283	-95.737
80.479	-11.104	45.557	-125.010	-56.366	-0.862	82.077	4.090	3.185	-82.307	-63.418	89.322	93.287	15.706	26.054	65.545	-16.230	-95.713
80.558	-11.302	45.501	-124.455	-56.024	-1.073	82.070	4.066	3.178	-82.005	-63.248	89.151	93.292	15.702	26.052	65.503	-16.165	-95.683
80.632	-11.460	45.457	-123.955	-55.726	-1.254	82.059	4.054	3.198	-81.792	-63.112	89.025	93.290	15.698	26.065	65.487	-16.130	-95.663
80.701	-11.588	45.424	-123.502	-55.467	-1.420	82.049	4.049	3.218	-81.595	-62.998	88.864	93.300	15.678	26.063	65.445	-16.090	-95.601
80.767	-11.688	45.402	-123.091	-55.260	-1.573	82.038	4.041	3.230	-81.397	-62.918	88.629	93.301	15.665	26.072	65.417	-16.058	-95.551
80.828	-11.752	45.393	-122.705	-55.105	-1.705	82.025	4.048	3.253	-81.251	-62.863	88.412	93.303	15.670	26.076	65.426	-16.015	-95.497
80.881	-11.786	45.403	-122.352	-54.993	-1.807	82.013	4.056	3.276	-81.117	-62.832	88.175	93.304	15.663	26.085	65.424	-15.990	-95.431
80.929	-11.795	45.427	-122.024	-54.925	-1.881	81.998	4.072	3.317	-81.041	-62.820	87.976	93.307	15.622	26.100	65.394	-15.978	-95.366
80.970	-11.762	45.466	-121.713	-54.918	-1.912	81.986	4.101	3.352	-80.938	-62.832	87.728	93.311	15.606	26.110	65.381	-15.951	-95.295
81.002	-11.717	45.523	-121.446	-54.935	-1.900	81.975	4.134	3.388	-80.837	-62.863	87.459	93.312	15.602	26.109	65.388	-15.917	-95.218
81.032	-11.644	45.585	-121.191	-54.995	-1.862	81.964	4.178	3.437	-80.781	-62.921	87.226	93.314	15.603	26.105	65.380	-15.887	-95.144
81.059	-11.539	45.657	-120.953	-55.093	-1.786	81.952	4.231	3.483	-80.705	-62.993	86.930	93.315	15.620	26.107	65.399	-15.866	-95.088
81.083	-11.396	45.745	-120.767	-55.231	-1.645	81.939	4.312	3.553	-80.658	-63.094	86.660	93.318	15.587	26.116	65.346	-15.862	-95.040
81.102	-11.241	45.843	-120.633	-55.377	-1.467	81.926	4.391	3.621	-80.623	-63.252	86.328	93.319	15.583	26.126	65.332	-15.847	-94.992
81.117	-11.052	45.951	-120.539	-55.558	-1.238	81.918	4.475	3.679	-80.582	-63.437	85.952	93.320	15.581	26.125	65.308	-15.836	-94.924
81.133	-10.792	46.092	-120.488	-55.768	-0.972	81.910	4.558	3.737	-80.579	-63.657	85.604	93.314	15.579	26.147	65.287	-15.844	-94.913
81.144	-10.469	46.260	-120.497	-56.010	-0.652	81.901	4.643	3.794	-80.586	-63.914	85.256	93.313	15.583	26.152	65.271	-15.832	-94.871
81.154	-10.113	46.427	-120.550	-56.292	-0.308	81.892	4.746	3.872	-80.649	-64.202	84.989	93.320	15.570	26.143	65.204	-15.806	-94.799
81.161	-9.755	46.581	-120.642	-56.611	0.049	81.884	4.852	3.933	-80.668	-64.516	84.667	93.318	15.572	26.155	65.192	-15.813	-94.780
81.161	-9.367	46.751	-120.799	-56.964	0.457	81.880	4.972	4.010	-80.735	-64.867	84.390	93.321	15.571	26.152	65.140	-15.800	-94.722
81.160	-8.949	46.920	-120.994	-57.360	0.886	81.872	5.096	4.072	-80.743	-65.243	84.040	93.324	15.567	26.145	65.084	-15.789	-94.666
81.154	-8.499	47.109	-121.257	-57.786	1.377	81.868	5.238	4.159	-80.809	-65.666	83.759	93.324	15.564	26.147	65.061	-15.786	-94.632
81.148	-8.017	47.298	-121.556	-58.262	1.901	81.866	5.375	4.232	-80.846	-66.112	83.415	93.325	15.564	26.150	65.027	-15.777	-94.600
81.139	-7.493	47.497	-121.928	-58.777	2.507	81.863	5.534	4.307	-80.842	-66.593	83.038	93.325	15.569	26.154	64.992	-15.772	-94.578
81.131	-6.940	47.695	-122.350	-59.336	3.158	81.862	5.695	4.376	-80.812	-67.101	82.616	93.326	15.567	26.157	64.937	-15.767	-94.537
81.125	-6.356	47.895	-122.814	-59.919	3.848	81.865	5.869	4.448	-80.790	-67.639	82.198	93.327	15.568	26.158	64.888	-15.772	-94.490
81.119	-5.741	48.097	-123.349	-60.536	4.607	81.867	6.044	4.534	-80.804	-68.217	81.794	93.326	15.578	26.159	64.880	-15.766	-94.463
81.109	-5.088	48.310	-123.952	-61.176	5.439	81.869	6.224	4.608	-80.788	-68.813	81.344	93.328	15.569	26.161	64.779	-15.792	-94.417
81.103	-4.404	48.512	-124.594	-61.837	6.304	81.875	6.411	4.672	-80.718	-69.436	80.825	93.328	15.571	26.161	64.750	-15.784	-94.377
81.097	-3.687	48.718	-125.313	-62.525	7.237	81.880	6.623	4.743	-80.630	-70.094	80.300	93.328	15.571	26.163	64.703	-15.796	-94.331
81.090	-2.929	48.920	-126.076	-63.229	8.217	81.888	6.822	4.809	-80.547	-70.761	79.761	93.327	15.576	26.163	64.675	-15.795	-94.288
81.084	-2.143	49.120	-126.912	-63.949	9.259	81.895	7.042	4.873	-80.399	-71.462	79.178	93.326	15.574	26.167	64.616	-15.831	-94.258
81.082	-1.317	49.309	-127.780	-64.691	10.332	81.904	7.257	4.938	-80.237	-72.187	78.578	93.325	15.573	26.168	64.572	-15.837	-94.209
